gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
1.161 1.160 -0.22068116 -0.15985121 0.17639345
1.171 1.170 -0.20724213 -0.1635164 0.09209404
1.181 1.180 -0.2182377 -0.22399206 -0.014807371
1.191 1.190 -0.23350933 -0.40419734 -0.17729752
1.201 1.200 -0.2200703 -0.46467298 -0.28297722
1.214 1.210 -0.185251 -0.423745 -0.35444844
1.221 1.220 -0.13088398 -0.32050878 -0.39781988
1.231 1.230 -0.07590611 -0.2301007 -0.3953764
1.241 1.240 -0.01970651 -0.15557516 -0.38132653
1.251 1.250 0.014501944 -0.094488636 -0.37338525
1.261 1.260 0.017556272 -0.094488636 -0.35322672
1.271 1.270 0.006560698 0.0020280778 -0.34345287
1.281 1.280 0.0010629073 0.03867999 -0.36483315
1.291 1.290 0.045656074 0.049675565 -0.4112589
1.301 1.300 0.20203757 -0.020573936 -0.5083865
1.312 1.310 0.29977602 -0.09998642 -0.55847746
1.321 1.320 0.3333736 -0.07677354 -0.55297965
1.331 1.330 0.30405205 0.045399513 -0.4992235
1.341 1.340 0.23074824 0.19200717 -0.41614583
1.351 1.350 0.15805528 0.2824152 -0.3214617
1.363 1.360 0.096968755 0.3019629 -0.24937962
1.370 1.370 0.03710396 0.27875003 -0.18951483
1.380 1.380 -0.006267473 0.19383977 -0.15713897
1.390 1.390 -0.020928241 0.056395087 -0.15164118
1.400 1.400 -0.02703689 -0.06944316 -0.170578
1.410 1.410 -0.07590611 -0.1671816 -0.24815789
1.421 1.420 -0.13027312 -0.15740775 -0.3025249
1.431 1.430 -0.16875763 -0.10426247 -0.31718567
1.441 1.440 -0.18402925 -0.020573936 -0.28175548
1.451 1.450 -0.17547715 0.033182207 -0.22189069
1.461 1.460 -0.14432302 0.06861238 -0.17790839
1.471 1.470 -0.081403896 0.046621237 -0.18157358
1.481 1.480 -7.696822E-4 -0.016908746 -0.20722991
1.491 1.490 0.08169712 -0.10853854 -0.24876876
1.502 1.500 0.1452271 -0.17390111 -0.29336193
1.513 1.510 0.18432248 -0.23987456 -0.22983193
1.521 1.520 0.15866613 -0.40908423 -0.0899438
1.531 1.530 0.10918605 -0.30218282 -0.14308907
1.541 1.540 0.068258084 -0.27713734 -0.21028425
1.551 1.550 0.020610597 -0.33150434 -0.24876876
1.561 1.560 -0.0013805479 -0.37426493 -0.3306247
1.571 1.570 0.01938887 -0.39992127 -0.4094263
1.581 1.580 0.045656074 -0.36449108 -0.41736758
1.591 1.590 0.017556272 -0.26308745 -0.34039855
1.601 1.600 -0.081403896 -0.16168381 -0.15713897
1.611 1.610 -0.22068116 -0.13786006 0.08170933
1.621 1.620 -0.4521991 -0.21299648 0.4286808
1.631 1.630 -0.593309 -0.31623274 0.55207556
1.641 1.640 -0.71487117 -0.39992127 0.54718864
1.651 1.650 -0.8126096 -0.41824722 0.4708305
1.664 1.660 -0.8840808 -0.34066734 0.36026388
1.672 1.670 -0.9182893 -0.17329024 0.27352104
1.681 1.680 -0.896909 0.046621237 0.22281921
1.691 1.690 -0.8236052 0.23782207 0.17944779
1.701 1.700 -0.7142603 0.33861482 0.13607635
1.711 1.710 -0.6269066 0.33433875 0.10186789
1.720 1.720 -0.5682635 0.29218906 0.117750384
1.730 1.730 -0.40210816 0.16573997 0.16784135
1.740 1.740 -0.2359528 -0.004080575 0.2002172
1.750 1.750 -0.08629082 -0.21055302 0.2179323
1.760 1.760 0.0010629073 -0.35593897 0.21854316
