this is the ground truth data generated from /QVR_2020_10_20_16_49_54.mp4 with trial name: lopen1.2
time,x,y
0.00860000000000127,9.03914919852035,13.289457459926
1.009466666,9.19192355117139,13.6459309494451
2.010388888,9.80302096177559,14.5116522811344
3.011233333,10.3122688039457,15.2245992601726
4.012111111,10.7705918618989,16.29401972873
5.013033333,11.5344636251541,17.6689889025894
6.0139,12.5529593094945,18.9930332922318
7.064544444,13.0622071516646,20.9790998766954
8.084877777,13.0622071516646,22.2522194821208
9.1052,13.0622071516646,23.7799630086313
10.125533333,13.1131319358816,24.8493834771887
11.146055555,13.1640567200986,25.918803945746
12.146977777,12.4511097410604,26.6317509247842
13.157666666,11.5344636251541,26.9882244143033
14.168477777,10.5159679408138,27.3446979038224
15.179322222,10.1594944512947,28.2104192355117
16.210044444,10.2104192355117,28.974290998767
17.210877777,10.3122688039457,30.1455610357583
18.218066666,10.8215166461159,30.8075832305795
19.238655555,11.5853884093712,30.8075832305795
20.258933333,13.0622071516646,30.8585080147965
21.259566666,14.437176325524,30.8585080147965
22.273055555,15.8121454993835,30.9603575832306
23.304933333,16.4741676942047,30.5529593094944
24.310755555,16.6269420468557,29.8400123304562
25.321688888,16.6778668310727,28.974290998767
26.322277777,16.5250924784217,27.8030209617756
27.352844444,15.6084463625154,26.9882244143033
28.353488888,14.5899506781751,26.3771270036991
29.394166666,13.8770036991369,25.1040073982737
30.394811111,13.8770036991369,24.2382860665845
31.425488888,13.6223797780518,23.2197903822441
32.455944444,12.2983353884094,22.914241676942
33.466522222,11.4835388409371,23.0670160295931
34.467377777,11.7890875462392,23.0670160295931
35.508166666,11.7890875462392,23.0670160295931
36.548622222,11.7381627620222,23.0160912453761
37.569088888,11.5344636251541,23.0670160295931
38.569877777,11.4326140567201,23.0670160295931
39.589644444,11.3816892725031,23.0670160295931
40.621533333,11.3307644882861,23.0670160295931
41.653511111,11.2798397040691,23.0670160295931
42.672388888,10.0067200986437,23.0670160295931
43.6926,7.66418002466092,23.0670160295931
44.693522222,5.83088779284834,22.914241676942
45.694355555,5.57626387176326,21.9975955610358
46.695188888,6.64568434032059,21.4883477188656
47.714977777,7.51140567200987,21.6920468557337
48.734322222,8.5808261405672,22.1503699136868
49.740622222,9.54839704069051,22.659617755857
50.7415,10.5668927250308,22.659617755857
51.742355555,11.3816892725031,22.812392108508
52.743222222,11.4326140567201,22.812392108508
53.7441,11.3307644882861,22.761467324291
54.745044444,11.8909371146732,22.761467324291
55.745866666,12.2474106041924,22.4049938347719
56.766688888,12.0437114673243,22.5577681874229
57.787555555,12.0946362515413,22.5577681874229
58.788444444,12.1964858199753,22.4559186189889
59.789288888,12.5020345252774,22.60869297164
60.790188888,12.6038840937115,23.5253390875462
61.791077777,13.3677558569667,24.3401356350185
62.791933333,14.6918002466091,24.5438347718866
63.822622222,16.5250924784217,24.5947595561036
64.853377777,17.6963625154131,24.0855117139334
65.863788888,17.8491368680641,22.812392108508
66.914177777,17.390813810111,21.8448212083847
67.934522222,15.6593711467324,21.8448212083847
68.9351,14.386251541307,21.8448212083847
69.965777777,13.7242293464858,20.9281750924784
70.966688888,13.4696054254007,19.9606041923551
71.967566666,12.8585080147966,19.2476572133169
72.968455555,11.7890875462392,17.9745376078915
73.969344444,11.025215782984,16.344944512947
74.970177777,11.076140567201,15.4282983970407
75.9711,11.7381627620222,14.9699753390875
77.003922222,13.3168310727497,14.9699753390875
78.004766666,14.6408754623921,14.9190505548705
79.023688888,15.4047472256474,14.8681257706535
80.055577777,15.4047472256474,14.8681257706535
81.087555555,15.4047472256474,14.8681257706535
82.119466666,15.7612207151665,14.8681257706535
83.151355555,15.9139950678175,14.8172009864365
84.183277777,15.9649198520345,14.9190505548705
85.215266666,16.1176942046856,14.9190505548705
86.247177777,16.2195437731196,14.9190505548705
87.279111111,16.8815659679408,14.9190505548705
88.311044444,18.0019112207152,15.3773736128237
89.342922222,18.8167077681874,15.7338471023428
90.374866666,19.4787299630086,16.395869297164
91.406766666,19.4787299630086,17.4143649815043
92.4387,19.4787299630086,18.6874845869297
93.470633333,20.0898273736128,19.553205918619
94.502555555,21.5157213316893,19.655055487053
95.534533333,22.1268187422935,19.1967324290999
96.566422222,21.7194204685573,18.3819358816276
97.598333333,21.1083230579531,17.9236128236745
98.630333333,20.65,17.2106658446362
99.662188888,20.1916769420469,16.5995684340321
100.694166666,19.6824290998767,15.9375462392108
101.726044444,18.1037607891492,15.1227496917386
102.757977777,16.4741676942047,14.7662762022195
103.789911111,15.8121454993835,14.8172009864365
104.821844444,15.8630702836005,14.8681257706535
105.853777777,15.8630702836005,14.8681257706535
106.860088888,15.8630702836005,14.8681257706535
107.860933333,15.2010480887793,14.9190505548705
108.861844444,14.9973489519112,14.9190505548705
109.862711111,14.6918002466091,14.9190505548705
110.863566666,14.6918002466091,14.8681257706535
111.8645,14.437176325524,14.9190505548705
112.865355555,13.6223797780518,14.9190505548705
113.8662,11.8909371146732,14.9699753390875
114.867077777,10.6687422934649,14.7662762022195
115.867955555,9.65024660912454,14.3588779284834
116.868833333,9.14099876695438,13.8496300863132
117.869755555,9.09007398273736,12.7292848335388
118.8706,8.93729963008632,12.0163378545006
119.871511111,8.83545006165228,10.6413686806412
120.872377777,10.0576448828607,10.7941430332922
121.893177777,11.2798397040691,10.8450678175092
122.9239,11.228914919852,10.081196054254
123.954677777,10.0067200986437,9.82657213316893
124.987911111,8.73360049321825,9.77564734895191
125.988788888,8.78452527743527,11.6598643649815
126.989711111,8.98822441430333,12.5255856966708
