gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
1.188 1.188 -0.050090954 -0.03021339 -0.008112291
1.198 1.198 -0.053756148 -0.025937334 -0.0087231565
1.208 1.208 -0.044593163 -0.01982868 -0.014831809
1.217 1.217 -0.04642576 -0.024715602 -0.012388348
1.227 1.227 -0.0580322 -0.027159065 -0.010555752
1.237 1.238 -0.05619961 -0.013720028 -0.003836234
1.247 1.248 -0.026878074 0.003384199 -0.0013927734
1.257 1.258 6.1086565E-4 0.005216792 0.002883284
1.267 1.268 0.020769417 0.019266695 0.0016615526
1.277 1.278 0.025045473 0.029040538 0.002883284
1.288 1.288 0.007941246 0.02354275 0.0034941486
1.298 1.298 -0.015271634 0.017434098 0.0041050143
1.308 1.308 -0.038484514 0.020488426 0.0016615526
1.318 1.317 -0.051923543 0.027207945 -0.0013927734
1.328 1.328 -0.048869222 0.024764482 -0.0013927734
1.338 1.338 -0.03359759 0.012547176 -0.0013927734
1.348 1.347 -0.015271634 0.0039950646 -0.0013927734
1.358 1.358 -0.018325962 0.010103717 -0.003225369
1.369 1.368 -0.038484514 0.013768908 -0.0026145037
1.378 1.378 -0.05681047 0.011936311 -0.0020036385
1.388 1.388 -0.07147123 0.010103717 -0.003225369
1.398 1.398 -0.08002335 0.005216792 -0.0044470998
1.409 1.408 -0.07086037 0.016212367 -0.003836234
1.419 1.418 -0.048258357 0.024153616 -0.003836234
1.428 1.428 -0.021991149 0.027818806 -0.008112291
1.438 1.438 -0.0079412535 0.010714579 -0.008112291
1.447 1.447 -0.010384709 -0.019217815 -0.009334021
1.457 1.457 -0.048258357 -0.0405981 -0.008112291
1.467 1.467 -0.07330383 -0.063200116 -0.0013927734
1.477 1.477 -0.0842994 -0.065032706 0.0016615526
1.487 1.487 -0.08124508 -0.048539348 0.0022724182
1.497 1.498 -0.06963864 -0.032656852 0.0010506879
1.507 1.507 -0.060475662 -0.029602526 -0.003225369
1.517 1.517 -0.060475662 -0.0265482 -7.8190817E-4
1.527 1.528 -0.059864804 -0.01738522 0.0010506879
1.539 1.538 -0.06108652 -0.00577878 4.398222E-4
1.551 1.547 -0.059864804 -0.0021135882 -0.0013927734
1.558 1.558 -0.055588737 -8.918587E-4 -0.0020036385
1.568 1.568 -0.048869222 -0.010054838 -0.003225369
1.578 1.578 -0.05070182 -0.014941759 -0.0013927734
1.588 1.588 -0.039706245 -0.010665702 -1.7104251E-4
1.601 1.598 -0.022602014 0.001551602 0.0016615526
1.608 1.608 -0.009162985 0.0064385235 0.0022724182
1.618 1.618 -0.010995574 0.005216792 4.398222E-4
1.628 1.628 -0.00977385 0.005216792 0.0010506879
1.638 1.637 -0.013439037 0.011936311 -1.7104251E-4
1.648 1.647 -0.01710423 0.012547176 0.0010506879
1.658 1.658 -0.0158825 -0.0045570508 0.0016615526
1.668 1.668 -0.005497791 -0.0045570508 0.0041050143
1.678 1.678 0.010384709 0.02354275 4.398222E-4
1.688 1.688 0.0067195147 0.027818806 -7.8190817E-4
1.698 1.698 -0.015271634 0.019266695 0.002883284
1.708 1.707 -0.040927976 -0.0021135882 0.0034941486
1.718 1.718 -0.06108652 -0.023493873 0.0034941486
1.728 1.728 -0.065973446 -0.025326468 0.006548475
1.738 1.738 -0.048258357 -0.006389646 -0.0026145037
1.748 1.747 -0.013439037 0.0082711205 -0.0020036385
1.758 1.758 0.012217302 0.018044963 -1.7104251E-4
1.768 1.768 0.026267204 0.02354275 4.398222E-4
1.778 1.778 0.0146607645 0.021710154 4.398222E-4
1.788 1.788 -0.016493365 0.017434098 -0.0013927734
1.798 1.798 -0.030543268 0.012547176 -0.003225369
1.809 1.809 -0.021991149 -0.008222241 -0.003225369
1.818 1.818 -0.012217306 -0.023493873 0.0016615526
1.827 1.827 -0.0061086565 -0.021661278 0.0010506879
1.837 1.837 -0.012217306 -0.0021135882 -0.0020036385
1.847 1.847 -0.029321536 0.0039950646 -0.0026145037
1.857 1.858 -0.04642576 3.2987073E-4 -0.0020036385
1.867 1.868 -0.050090954 0.001551602 4.398222E-4
1.878 1.878 -0.051923543 3.2987073E-4 0.0034941486
1.888 1.888 -0.05619961 -0.0015027244 0.0059376094
1.898 1.898 -0.050090954 0.005216792 0.0022724182
1.908 1.907 -0.041538842 0.0064385235 -1.7104251E-4
1.918 1.918 -0.025656343 0.0064385235 4.398222E-4
1.928 1.928 -0.020769425 0.010714579 0.0022724182
1.938 1.938 -0.021380283 0.021099292 0.0034941486
1.948 1.948 -0.012828171 0.034538325 0.0034941486
1.958 1.958 0.0 0.049199093 0.0016615526
1.968 1.968 0.010384709 0.056529474 0.0022724182
1.978 1.978 0.0018325895 0.035760056 0.002883284
1.988 1.988 -0.013439037 0.016823232 0.0041050143
1.998 1.998 -0.034208454 0.003384199 0.0071593407
2.008 2.008 -0.050090954 0.008881986 0.0077702054
2.018 2.018 -0.05497788 0.019266695 0.006548475
2.028 2.028 -0.06352998 0.031483997 0.006548475
2.039 2.038 -0.07696903 0.026597079 0.009602802
2.048 2.048 -0.08857547 0.030873135 0.012046263
2.058 2.058 -0.09162979 0.036981788 0.0102136675
2.068 2.068 -0.08246681 0.036370922 0.012657128
2.078 2.078 -0.07330383 0.040036116 0.009602802
2.088 2.088 -0.06108652 0.043701302 0.0071593407
2.098 2.098 -0.04031711 0.05408601 0.0034941486
2.108 2.108 -0.01710423 0.067525044 0.0034941486
2.118 2.118 -0.01160644 0.044923034 -7.8190817E-4
2.128 2.128 -0.026267208 0.021099292 -0.0013927734
2.138 2.138 -0.04520403 -0.0015027244 0.0016615526
2.148 2.148 -0.05070182 -0.014941759 0.002883284
2.158 2.158 -0.04031711 -0.017996086 4.398222E-4
2.168 2.168 -0.024434611 -0.021661278 -7.8190817E-4
2.178 2.178 -0.017715096 -0.02899166 -1.7104251E-4
2.188 2.188 -0.021991149 -0.030824255 0.0034941486
2.198 2.198 -0.024434611 -0.024715602 0.0041050143
2.208 2.208 -0.02871067 -0.017996086 0.0034941486
2.218 2.217 -0.025045477 -0.016774355 4.398222E-4
2.228 2.228 -0.007330388 -0.0033353195 4.398222E-4
2.238 2.238 0.0036651865 0.009492852 0.0022724182
2.248 2.248 6.1086565E-4 -0.0033353195 0.0010506879
2.258 2.258 -0.014660768 -0.017996086 0.0059376094
2.268 2.268 -0.028099805 -0.01982868 0.006548475
2.278 2.277 -0.032986723 -0.013720028 0.0041050143
2.288 2.288 -0.025045477 -0.003946185 0.0022724182
2.298 2.298 -0.019547693 0.0027733333 0.0041050143
2.308 2.308 -0.016493365 -0.0033353195 0.0034941486
2.318 2.318 -0.021380283 -0.014941759 0.0016615526
2.328 2.328 -0.021991149 -0.014330894 0.0022724182
2.338 2.338 -0.010384709 -0.00577878 0.0016615526
2.348 2.347 0.006108649 -0.0021135882 -1.7104251E-4
2.358 2.358 0.018325955 -8.918587E-4 -0.0044470998
2.368 2.368 0.01893682 -0.0033353195 -0.0013927734
2.378 2.378 0.010995574 -0.007611377 4.398222E-4
2.388 2.388 0.0018325895 -0.0021135882 -0.0013927734
2.399 2.398 -0.012828171 -0.0021135882 -0.0026145037
2.408 2.408 -0.03481932 -0.014941759 4.398222E-4
2.419 2.418 -0.04337144 -8.918587E-4 0.0041050143
2.428 2.427 -0.03909538 0.020488426 0.0059376094
2.438 2.438 -0.023823746 0.024764482 0.0071593407
2.448 2.447 -0.018325962 0.0082711205 0.0071593407
2.458 2.458 -0.008552119 0.012547176 0.0022724182
2.468 2.468 -0.0012217313 0.016212367 0.0016615526
2.481 2.478 -0.004886925 0.015601505 -7.8190817E-4
2.488 2.487 -0.019547693 0.013768908 0.0034941486
2.498 2.498 -0.02871067 0.011936311 0.006548475
2.508 2.508 -0.02871067 0.0021624677 0.006548475
2.518 2.518 -0.017715096 -0.0027244538 0.0053267446
2.528 2.528 -0.00977385 -0.0045570508 0.0022724182
2.538 2.538 -0.008552119 -0.00577878 0.0022724182
2.548 2.548 -0.008552119 -0.009443972 0.0022724182
2.558 2.558 -0.010384709 -0.003946185 4.398222E-4
2.568 2.568 -0.007330388 0.009492852 -0.0013927734
2.578 2.578 0.0024434552 0.016823232 -0.0050579645
2.588 2.587 0.009162977 0.01865583 -0.0068905605
2.598 2.597 0.009773843 0.01987756 -0.003225369
2.608 2.608 0.0030543208 0.017434098 -0.0013927734
2.618 2.618 -0.001832597 0.0082711205 -0.0026145037
2.631 2.628 -0.003665194 0.009492852 -0.0020036385
2.638 2.638 -6.1086565E-4 0.012547176 -0.0013927734
2.648 2.648 -0.004886925 0.011936311 0.0010506879
2.658 2.658 -0.014660768 0.010103717 -1.7104251E-4
2.668 2.668 -0.01710423 0.011325445 0.0010506879
2.678 2.677 -0.0061086565 0.016823232 0.002883284
2.688 2.688 0.0018325895 0.027818806 0.0053267446
2.698 2.698 0.0073303804 0.035760056 -1.7104251E-4
2.708 2.708 0.004276052 0.02354275 0.0016615526
2.718 2.718 -0.0024434626 0.0082711205 4.398222E-4
2.728 2.728 -0.0061086565 0.0064385235 -1.7104251E-4
2.738 2.737 -0.00977385 0.007049389 -0.0013927734
2.748 2.748 -0.0079412535 0.005827658 -0.003225369
2.758 2.758 0.0 -0.0051679146 -0.003836234
2.769 2.768 0.015882492 -0.008833107 4.398222E-4
2.778 2.778 0.011606436 0.001551602 0.0059376094
2.788 2.788 0.0012217313 0.010103717 0.008991936
2.798 2.798 -0.01160644 0.013158042 0.0077702054
2.809 2.808 -0.021380283 0.015601505 0.0077702054
2.818 2.818 -0.02748894 0.013768908 0.002883284
2.827 2.827 -0.026267208 0.0039950646 0.0034941486
2.838 2.838 -0.013439037 0.0039950646 -0.0013927734
2.848 2.848 -0.001832597 0.001551602 -0.0044470998
2.858 2.858 0.015271626 -0.006389646 -0.003836234
2.868 2.868 0.018325955 -0.0027244538 -0.003836234
2.879 2.877 0.0024434552 -0.00577878 -0.0026145037
2.888 2.887 -0.014660768 -0.01982868 -1.7104251E-4
2.898 2.898 -0.02321288 -0.01982868 0.0010506879
2.908 2.908 -0.02321288 -0.011276567 0.0034941486
2.918 2.918 -0.02015856 0.0027733333 0.0059376094
2.928 2.927 -0.014660768 0.016212367 0.002883284
2.938 2.938 -0.014660768 0.012547176 0.0034941486
2.948 2.948 -0.0158825 0.0027733333 0.0077702054
2.958 2.958 -0.01710423 0.005216792 0.0077702054
2.968 2.968 -0.016493365 0.016823232 0.004715879
2.978 2.978 -0.017715096 0.019266695 0.0016615526
2.988 2.987 -0.005497791 0.024153616 -7.8190817E-4
2.998 2.998 -0.0024434626 0.019266695 -0.0020036385
3.008 3.007 -6.1086565E-4 0.018044963 0.0010506879
3.018 3.018 -6.1086565E-4 0.022931885 -0.003225369
3.028 3.028 -0.007330388 0.018044963 -0.0044470998
3.038 3.038 -0.020769425 -8.918587E-4 -7.8190817E-4
3.048 3.048 -0.035430185 -0.015552625 0.002883284
3.058 3.058 -0.03481932 -0.014941759 0.0059376094
3.068 3.068 -0.028099805 -0.019217815 0.0034941486
3.078 3.078 -0.0158825 -0.0051679146 0.0034941486
3.088 3.087 6.1086565E-4 0.013158042 -0.0013927734
3.098 3.098 0.0067195147 0.016212367 -7.8190817E-4
3.108 3.108 0.0024434552 0.015601505 4.398222E-4
3.118 3.118 -0.013439037 0.012547176 0.0010506879
3.128 3.128 -0.02748894 0.013768908 0.002883284
3.138 3.138 -0.026878074 0.0046059303 0.0022724182
3.148 3.148 -0.021991149 -8.918587E-4 0.0016615526
3.158 3.158 -0.012217306 -0.0033353195 -1.7104251E-4
3.168 3.168 -0.0042760596 0.0039950646 -0.0013927734
3.178 3.178 0.0073303804 0.010103717 -0.0013927734
3.188 3.187 0.020769417 0.016212367 -0.0026145037
3.198 3.198 0.027488932 0.017434098 -0.0020036385
3.208 3.208 -0.0024434626 0.0046059303 4.398222E-4
3.218 3.218 -0.025656343 -0.003946185 -0.0026145037
3.228 3.227 -0.032375857 -0.013720028 -0.0020036385
3.238 3.238 -0.026267208 -0.025937334 -1.7104251E-4
3.248 3.248 -0.0042760596 -0.01982868 -7.8190817E-4
3.258 3.258 0.010384709 -0.007611377 -0.0020036385
3.268 3.268 0.026267204 0.001551602 -7.8190817E-4
3.278 3.278 0.019547686 0.0027733333 0.0010506879
3.288 3.288 0.0067195147 -0.007611377 0.0016615526
3.298 3.298 -0.013439037 -0.03021339 -0.003225369
3.308 3.308 -0.026267208 -0.04181983 4.398222E-4
3.318 3.318 -0.029932402 -0.024104737 4.398222E-4
3.328 3.328 -0.012828171 0.007660255 -1.7104251E-4
3.338 3.338 0.008552112 0.027818806 4.398222E-4
3.348 3.348 0.029321529 0.043701302 4.398222E-4
3.358 3.358 0.03420845 0.049199093 -7.8190817E-4
3.368 3.368 0.023823742 0.034538325 -0.0026145037
3.378 3.378 -0.0024434626 0.0064385235 -0.0013927734
3.388 3.388 -0.029321536 -0.01982868 -7.8190817E-4
3.398 3.397 -0.04520403 -0.04670675 0.0034941486
3.408 3.407 -0.042149708 -0.055258863 0.0077702054
3.418 3.418 -0.025045477 -0.033878583 0.009602802
3.429 3.428 0.010995574 0.016212367 0.004715879
3.438 3.438 0.029932395 0.03026227 0.004715879
3.448 3.448 0.03176499 0.04064698 0.0016615526
3.458 3.457 0.016493358 0.044312168 0.0010506879
3.468 3.468 -0.00977385 0.044923034 4.398222E-4
3.478 3.478 -0.025045477 0.038814384 4.398222E-4
3.488 3.488 -0.026878074 0.024153616 0.0016615526
3.498 3.498 -0.024434611 0.007660255 0.006548475
3.512 3.508 -0.025045477 -0.0021135882 0.008991936
3.518 3.518 -0.018936828 -0.0051679146 0.0053267446
3.528 3.527 -0.015271634 -0.006389646 0.002883284
3.538 3.538 -0.041538842 -0.048539348 -0.011166617
3.548 3.548 -0.07147123 -0.059534922 0.0034941486
3.562 3.558 -0.043982297 -0.0051679146 0.0053267446
3.569 3.568 -0.0030543283 0.055918608 -0.0020036385
3.579 3.578 0.032375854 0.08340755 0.006548475
3.588 3.588 0.059253924 0.10112265 0.0022724182
3.598 3.598 0.05864306 0.12433553 4.398222E-4
3.608 3.607 0.03726278 0.12250292 0.0077702054
3.618 3.618 0.004886918 0.11272909 0.010824531
3.628 3.628 -0.017715096 0.11456168 0.013267994
3.638 3.638 0.017715089 0.18786551 0.021209242
3.648 3.647 0.07574729 0.2843822 0.03281568
3.661 3.658 0.16126841 0.42182687 0.040756926
3.668 3.668 0.23579398 0.580041 0.07130019
3.678 3.677 0.2919936 0.7993416 0.10428692
3.688 3.688 0.35002577 1.060792 0.14216056
3.698 3.697 0.43799037 1.3375139 0.1800342
3.708 3.708 0.58276546 1.6050729 0.25944668
3.718 3.718 0.74159044 1.8781296 0.30465072
3.728 3.728 0.8588765 2.185395 0.34680042
3.738 3.738 0.9089675 2.5494707 0.36879158
3.748 3.748 0.7721337 3.1450644 0.31320283
3.758 3.757 0.56505036 3.2360833 0.2747183
3.768 3.768 0.30787608 3.300835 0.23440121
3.778 3.778 0.09773844 3.404071 0.19041891
3.788 3.788 -0.0580322 3.595883 0.13299759
3.798 3.798 -0.13805555 3.7064495 0.09329134
3.811 3.808 -0.17287487 3.658802 0.07191106
3.822 3.821 -0.16065757 3.3674192 0.067024134
3.837 3.838 -0.034208454 3.096195 0.14154969
3.847 3.847 0.07147123 2.9776871 0.21851872
3.858 3.858 0.16554448 2.8720076 0.37367848
3.867 3.867 0.15882495 2.665535 0.49585152
3.877 3.877 0.13561209 2.4272976 0.55388373
3.887 3.887 0.14905111 2.1548517 0.5129558
3.897 3.897 0.20525073 1.9196684 0.43843022
3.907 3.907 0.27122417 1.586136 0.34313524
3.917 3.917 0.28038716 1.0858374 0.24845111
3.928 3.927 0.18753563 0.48474598 0.14765835
3.937 3.938 -0.009162985 -0.06442185 0.03648087
3.947 3.948 -0.24984388 -0.48530802 -0.09485515
3.958 3.957 -0.4618141 -0.7730255 -0.22435859
3.967 3.968 -0.65118235 -0.93123966 -0.32331875
3.977 3.977 -0.62858033 -1.0332541 -0.33370346
3.987 3.987 -0.4990769 -1.1053362 -0.30743626
3.997 3.998 -0.31520647 -1.2091833 -0.26895174
4.007 4.008 -0.1160644 -1.3502932 -0.22435859
4.017 4.017 0.06780604 -1.5671504 -0.19748051
4.027 4.027 0.22724187 -1.9080132 -0.17854369
4.037 4.038 0.36285394 -2.3716598 -0.15960687
4.047 4.047 0.44226646 -2.8707366 -0.16938071
4.057 4.057 0.45753807 -3.3215551 -0.20725437
4.067 4.068 0.4056145 -3.689907 -0.2701735
4.077 4.077 0.23640485 -4.015498 -0.3752423
4.087 4.088 0.05864306 -4.569553 -0.4332745
4.097 4.097 -0.089186326 -4.8817053 -0.494361
4.107 4.107 -0.172264 -5.0930643 -0.54506284
4.117 4.117 -0.23701571 -5.2072964 -0.60248417
4.127 4.127 -0.2864958 -5.18897 -0.6281405
4.137 4.138 -0.3023783 -5.072906 -0.59881896
