rotation-vector.txt

Estimated-heading-accuracy is in radians. The rotation vector represents the orientation of the device as a combination of an angle and an axis, in which the device has rotated through an angle θ around an axis <x, y, z>. The reference coordinate system is defined as a direct orthonormal basis, where: X is defined as the vector product Y.Z (It is tangential to the ground at the device's current location and roughly points East). Y is tangential to the ground at the device's current location and points towards magnetic north. Z points towards the sky and is perpendicular to the ground.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x*sin(θ/2) y*sin(θ/2) z*sin(θ/2) cos(θ/2) estimated-heading-accuracy
1.651 1.650 1.5796628E-4 0.14365219 0.95175314 0.27116412 0.0
1.672 1.670 0.0079136975 0.14374575 0.9521095 0.2697443 0.0
1.692 1.690 0.016904367 0.14252691 0.9518323 0.27095324 0.0
1.711 1.710 0.018725552 0.14126143 0.9526903 0.26846942 0.0
1.731 1.730 0.014820775 0.13877438 0.9544044 0.26388302 0.0
1.751 1.750 0.01400938 0.13109174 0.9564295 0.2605022 0.0
1.771 1.770 0.016275361 0.12180547 0.95781475 0.2597874 0.0
1.795 1.790 0.017808098 0.11540626 0.95851916 0.26001012 0.0
1.811 1.810 0.017620016 0.113246866 0.95858115 0.26074314 0.0
1.831 1.830 0.016186181 0.11309623 0.9584448 0.26140195 0.0
1.851 1.850 0.014764536 0.113249965 0.95834666 0.261779 0.0
1.871 1.870 0.013672127 0.11285884 0.9580935 0.2629311 0.0
1.891 1.890 0.014058886 0.11029761 0.9574918 0.26616946 0.0
1.911 1.910 0.015046623 0.10798238 0.9562211 0.27157795 0.0
1.931 1.930 0.017945291 0.109030835 0.95407647 0.2784393 0.0
1.951 1.950 0.021952916 0.11411974 0.9520265 0.28309077 0.0
1.971 1.970 0.024364946 0.12062517 0.95066786 0.28475726 0.0
1.991 1.990 0.024192289 0.12613799 0.9500017 0.2846063 0.0
2.011 2.010 0.022294737 0.1302636 0.94979227 0.28360033 0.0
2.031 2.030 0.019725898 0.13566604 0.9496471 0.2817376 0.0
2.051 2.050 0.01622834 0.14365786 0.9495335 0.27836162 0.0
2.071 2.070 0.012277157 0.15202586 0.9495102 0.2741676 0.0
2.091 2.090 0.007859408 0.15746064 0.94966066 0.27071986 0.0
2.111 2.110 0.0020984462 0.15857068 0.9504327 0.2674487 0.0
2.131 2.130 -0.0043741986 0.15435547 0.95204777 0.26412174 0.0
2.151 2.150 -0.008062822 0.14684716 0.95364815 0.26253772 0.0
2.172 2.170 -0.008092278 0.14074488 0.95471805 0.26199043 0.0
2.192 2.190 -0.007833317 0.13827907 0.9555109 0.26041624 0.0
2.211 2.210 -0.011368711 0.13646029 0.9564189 0.2579 0.0
2.232 2.231 -0.017052691 0.13219897 0.9582906 0.25280786 0.0
2.251 2.250 -0.01996736 0.12514646 0.96059966 0.24736214 0.0
2.271 2.270 -0.017534936 0.11798148 0.96245605 0.24382639 0.0
2.291 2.290 -0.014311407 0.113577425 0.96351147 0.2419528 0.0
2.311 2.310 -0.01580882 0.113194734 0.964054 0.23986891 0.0
2.332 2.330 -0.019813746 0.113822356 0.9645275 0.23735751 0.0
2.351 2.350 -0.028494442 0.11584741 0.9652203 0.23263144 0.0
2.372 2.370 -0.03836893 0.118284844 0.9659026 0.22708763 0.0
2.393 2.390 -0.045529764 0.119756855 0.96667194 0.22165456 0.0
2.412 2.410 -0.049063485 0.118794516 0.9678092 0.21639325 0.0
2.431 2.430 -0.049322437 0.11600132 0.96933264 0.21096297 0.0
2.452 2.450 -0.046960063 0.11346006 0.9709717 0.20526943 0.0
2.472 2.470 -0.044892453 0.11293406 0.9722714 0.19979735 0.0
2.491 2.490 -0.043566477 0.11448975 0.9731051 0.19509158 0.0
2.511 2.510 -0.0428552 0.11782635 0.9734896 0.19130696 0.0
2.532 2.530 -0.042716093 0.122689806 0.97352326 0.18808287 0.0
2.552 2.550 -0.043119747 0.12816443 0.97328746 0.18554291 0.0
2.571 2.570 -0.04299109 0.13322237 0.9728179 0.18446916 0.0
2.591 2.590 -0.04191116 0.13699184 0.9722531 0.184934 0.0
2.612 2.610 -0.039847925 0.1372938 0.9719019 0.18700051 0.0
2.631 2.630 -0.036279786 0.13261788 0.9720068 0.1905236 0.0
2.651 2.650 -0.032953754 0.124627836 0.9722536 0.19520503 0.0
2.672 2.670 -0.030217659 0.11680365 0.97226423 0.20036492 0.0
2.691 2.690 -0.027325593 0.11193768 0.9716022 0.20667008 0.0
2.711 2.710 -0.022993749 0.11088191 0.9701525 0.21443121 0.0
2.731 2.730 -0.0175405 0.11264006 0.96835136 0.2220366 0.0
2.751 2.750 -0.010661447 0.114188276 0.9667285 0.22865589 0.0
2.772 2.770 -0.0049181646 0.112785235 0.9655789 0.23433483 0.0
2.792 2.790 -0.0070749572 0.10846886 0.9653481 0.23724978 0.0
2.811 2.810 -0.016061366 0.103009835 0.96591014 0.23695727 0.0
2.832 2.830 -0.024067566 0.09847382 0.9667009 0.23497464 0.0
2.851 2.850 -0.025201993 0.095087156 0.96735185 0.23356724 0.0
2.871 2.870 -0.021517834 0.092912935 0.96782815 0.23283657 0.0
2.891 2.890 -0.018357193 0.09002079 0.96852964 0.23132162 0.0
2.912 2.910 -0.01865195 0.0854906 0.9694507 0.22914803 0.0
2.932 2.930 -0.021993024 0.080464005 0.970213 0.2274392 0.0
2.951 2.950 -0.026294509 0.07695416 0.9704896 0.22701669 0.0
2.972 2.970 -0.029203067 0.07595662 0.97013855 0.22849314 0.0
2.991 2.990 -0.029428465 0.07743605 0.96919596 0.23194143 0.0
3.012 3.010 -0.02822055 0.081133746 0.9675249 0.23773198 0.0
3.031 3.030 -0.026826762 0.08538485 0.96563256 0.24401583 0.0
3.051 3.050 -0.025220642 0.089098684 0.9634017 0.25156045 0.0
3.071 3.070 -0.02347646 0.09280197 0.9608185 0.2601238 0.0
3.091 3.090 -0.020906763 0.09717256 0.9577885 0.2697436 0.0
3.111 3.110 -0.017615348 0.10216894 0.95433205 0.2801814 0.0
3.132 3.130 -0.015230871 0.1060549 0.950877 0.2904363 0.0
3.152 3.150 -0.014325465 0.1076415 0.94744587 0.3009229 0.0
3.171 3.170 -0.015553845 0.10745998 0.94429743 0.31066525 0.0
3.191 3.190 -0.018460518 0.107298635 0.9414236 0.31916755 0.0
3.212 3.210 -0.020196268 0.107719734 0.9389308 0.32618636 0.0
3.232 3.230 -0.019501155 0.10815818 0.93701446 0.33155033 0.0
3.252 3.250 -0.018055856 0.10845067 0.93537056 0.33614632 0.0
3.274 3.270 -0.016227134 0.10809506 0.93389493 0.34042978 0.0
3.292 3.290 -0.013011049 0.105604924 0.93248326 0.34518585 0.0
3.312 3.310 -0.0066825286 0.10011808 0.93101037 0.35092926 0.0
3.355 3.330 -4.9874844E-4 0.09137846 0.9301479 0.355633 0.0
3.355 3.350 -4.9874844E-4 0.09137846 0.9301479 0.355633 0.0
3.371 3.370 7.9098165E-5 0.06803787 0.93217486 0.35555714 0.0
3.391 3.390 -0.0028906525 0.055445373 0.9346301 0.3512607 0.0
3.411 3.410 3.9660838E-5 0.046287533 0.9360714 0.34875187 0.0
3.431 3.430 0.008640478 0.04216737 0.9352021 0.35148868 0.0
3.451 3.450 0.0141243655 0.043264512 0.932389 0.3585797 0.0
3.471 3.470 0.011091896 0.04932871 0.92878205 0.36716175 0.0
3.491 3.490 0.0016695911 0.059239604 0.9247772 0.37586567 0.0
3.511 3.510 -0.0090544615 0.06935637 0.92117614 0.3828086 0.0
3.532 3.530 -0.016278993 0.076679744 0.9183766 0.38786572 0.0
3.551 3.550 -0.016227366 0.08028185 0.916846 0.3907492 0.0
3.571 3.570 -0.013072455 0.082208015 0.9158677 0.39275613 0.0
3.591 3.590 -0.009735105 0.084262796 0.914956 0.39453834 0.0
3.611 3.610 -0.006801569 0.08761675 0.91420734 0.39560354 0.0
3.631 3.630 -0.004327048 0.09212929 0.9137866 0.39558506 0.0
3.651 3.650 -0.0016215238 0.09662871 0.91328675 0.39568612 0.0
3.671 3.670 0.0015991917 0.10047145 0.9127771 0.3959053 0.0
3.691 3.690 0.0049988264 0.10370629 0.91254497 0.39557764 0.0
3.711 3.710 0.0065966044 0.106555715 0.9129881 0.39377043 0.0
3.731 3.730 0.006825124 0.10787481 0.9141686 0.39065605 0.0
3.751 3.750 0.0063972343 0.106083035 0.9160774 0.38666224 0.0
3.771 3.770 0.0045204484 0.10330329 0.9179278 0.3830361 0.0
3.791 3.790 0.0028785407 0.102564245 0.9188137 0.3811216 0.0
3.811 3.810 0.0028175556 0.10413447 0.9179812 0.38269907 0.0
3.831 3.830 0.003892172 0.10717467 0.9154649 0.3878436 0.0
3.851 3.850 0.0061822953 0.11052385 0.91167784 0.39571428 0.0
3.871 3.870 0.00982718 0.11258634 0.9071837 0.4052721 0.0
3.891 3.890 0.011908263 0.11327665 0.9033672 0.41346633 0.0
3.911 3.910 0.007228532 0.112529926 0.90096897 0.41897452 0.0
3.931 3.930 -0.002061638 0.110443 0.899683 0.42233709 0.0
3.951 3.950 -0.006404179 0.10745784 0.89882827 0.424876 0.0
3.971 3.970 -0.0015024119 0.10373085 0.89746183 0.4287188 0.0
3.991 3.990 0.005984736 0.099350125 0.89581436 0.43314016 0.0
4.011 4.010 0.009718025 0.09516701 0.8943275 0.4370665 0.0
4.031 4.030 0.008937626 0.09222116 0.89304847 0.44031805 0.0
4.051 4.050 0.0054673115 0.09103478 0.89153504 0.4436757 0.0
4.071 4.070 0.001792042 0.09157184 0.8900525 0.4465623 0.0
4.091 4.090 0.0019876768 0.092668526 0.88886994 0.44868565 0.0
4.111 4.110 0.0064633433 0.093109 0.8876381 0.450985 0.0
4.131 4.130 0.01362766 0.092636466 0.8864376 0.45327833 0.0
4.151 4.150 0.021009035 0.09198317 0.88511086 0.45571536 0.0
4.171 4.170 0.026980408 0.0923912 0.8836574 0.45813283 0.0
4.191 4.190 0.031418953 0.09488045 0.88185704 0.4608023 0.0
4.211 4.210 0.034841094 0.09948877 0.87957275 0.46393967 0.0
4.231 4.230 0.03730036 0.10578616 0.87701714 0.467182 0.0
4.251 4.250 0.03901641 0.1128248 0.8746883 0.46975398 0.0
4.271 4.270 0.039315127 0.11908688 0.8730802 0.47117266 0.0
4.291 4.290 0.037517637 0.12324505 0.87237525 0.47155547 0.0
4.311 4.310 0.03235215 0.12443265 0.87298405 0.47049847 0.0
4.331 4.330 0.0250771 0.12472798 0.8744347 0.46816462 0.0
4.351 4.350 0.017189033 0.12541845 0.87637347 0.46469805 0.0
4.371 4.370 0.010415855 0.12696895 0.8787483 0.45996943 0.0
4.391 4.390 0.0067911264 0.12879293 0.88132393 0.45457047 0.0
4.411 4.410 0.008848331 0.12858762 0.8838187 0.44972375 0.0
4.431 4.430 0.016349215 0.12382857 0.8856166 0.44730568 0.0
4.452 4.450 0.023645248 0.11648293 0.88639486 0.44741145 0.0
4.472 4.470 0.024727684 0.108892485 0.88748056 0.4471122 0.0
4.491 4.490 0.016191807 0.1008652 0.89116955 0.44201925 0.0
4.511 4.510 0.0019683482 0.09195269 0.8968743 0.4326167 0.0
4.532 4.530 -0.0090829795 0.08396724 0.9019399 0.42352277 0.0
4.551 4.550 -0.013734584 0.07662752 0.90510434 0.41800234 0.0
4.571 4.570 -0.015946643 0.06955342 0.90691084 0.4152358 0.0
4.592 4.590 -0.020945447 0.062040094 0.9084865 0.41275254 0.0
4.611 4.610 -0.030365624 0.054377947 0.9094846 0.4110459 0.0
4.631 4.630 -0.042298526 0.049219765 0.90927684 0.41110095 0.0
4.651 4.650 -0.051465936 0.0478424 0.9079756 0.41308933 0.0
4.671 4.670 -0.052946586 0.048047125 0.9059605 0.4172816 0.0
4.691 4.690 -0.047905095 0.049989346 0.9043308 0.42117935 0.0
4.711 4.710 -0.042667165 0.053890776 0.903483 0.42307684 0.0
4.731 4.730 -0.039554417 0.05895525 0.9028125 0.42413375 0.0
4.752 4.750 -0.03869963 0.06563138 0.90173113 0.42553023 0.0
4.772 4.770 -0.037249394 0.07514929 0.89958984 0.42860624 0.0
4.792 4.790 -0.031512566 0.08772683 0.8967484 0.4326121 0.0
4.811 4.810 -0.024110692 0.10157733 0.89373904 0.43626973 0.0
4.835 4.831 -0.015340849 0.115298316 0.8900484 0.44077766 0.0
4.855 4.852 -0.012975214 0.11496019 0.88892984 0.44319245 0.0
4.871 4.870 -0.008333164 0.11050545 0.887583 0.4471191 0.0
4.898 4.890 -4.1497475E-4 0.10232579 0.88799286 0.44832793 0.0
4.915 4.910 0.011935216 0.0852521 0.88928396 0.44918108 0.0
4.931 4.930 0.029339701 0.064135216 0.8896401 0.45118332 0.0
4.952 4.951 0.046155073 0.050005235 0.88839453 0.45400935 0.0
4.971 4.970 0.05737255 0.04865628 0.8858517 0.4578296 0.0
4.991 4.990 0.06296142 0.050202258 0.88332146 0.46179962 0.0
5.011 5.010 0.059905693 0.051119633 0.88188887 0.46483356 0.0
5.032 5.030 0.04933541 0.04885293 0.8818391 0.46641117 0.0
5.051 5.050 0.038099162 0.043718643 0.8822055 0.46727997 0.0
5.071 5.070 0.034191474 0.037872504 0.8817791 0.46889472 0.0
5.091 5.090 0.03629054 0.033581566 0.880893 0.47072577 0.0
5.111 5.110 0.037414797 0.030578101 0.8806367 0.47132176 0.0
5.131 5.130 0.03540847 0.028313158 0.8810059 0.47092804 0.0
5.152 5.151 0.03170995 0.026820447 0.8814121 0.47051895 0.0
5.171 5.170 0.027977034 0.026219564 0.88185084 0.469967 0.0
5.191 5.190 0.022318728 0.027337069 0.8824609 0.46906012 0.0
5.211 5.210 0.015245209 0.02974532 0.8831697 0.46786126 0.0
5.231 5.230 0.00941221 0.03295319 0.88378024 0.46664542 0.0
5.251 5.250 0.006631591 0.036427453 0.88434243 0.46536815 0.0
5.271 5.270 0.0075752684 0.039392933 0.8846552 0.46451712 0.0
5.291 5.290 0.010820516 0.04205759 0.88438326 0.46473682 0.0
5.311 5.310 0.014733777 0.045540888 0.88329935 0.4663596 0.0
5.331 5.330 0.019317908 0.05015456 0.88136923 0.46936086 0.0
5.351 5.350 0.023927676 0.055777784 0.8795935 0.4718385 0.0
5.371 5.370 0.028264642 0.061135788 0.8787424 0.47252038 0.0
5.391 5.390 0.03172557 0.064576834 0.87958455 0.4702706 0.0
5.411 5.410 0.034578912 0.06458785 0.8820937 0.46534216 0.0
5.431 5.430 0.037044145 0.061022073 0.8850246 0.4600386 0.0
5.451 5.450 0.0369632 0.054770492 0.8886605 0.45378008 0.0
5.471 5.470 0.034304097 0.046955213 0.8927152 0.4468536 0.0
5.491 5.490 0.030615032 0.038905296 0.89680487 0.4396478 0.0
5.511 5.510 0.029453797 0.030015605 0.9006939 0.43241438 0.0
5.531 5.530 0.03092526 0.019593507 0.90412194 0.42570344 0.0
5.551 5.550 0.031346828 0.007080901 0.9080011 0.41773343 0.0
5.573 5.570 0.027216958 -0.0075790733 0.91296667 0.40705502 0.0
5.591 5.590 0.020764446 -0.02245138 0.91797715 0.3954526 0.0
5.611 5.610 0.015689038 -0.032515164 0.92090815 0.38810408 0.0
5.633 5.630 0.013426066 -0.03595612 0.92137164 0.38678327 0.0
5.652 5.650 0.011923175 -0.034815393 0.92015505 0.38982126 0.0
5.671 5.670 0.007923727 -0.028964655 0.9189469 0.39323634 0.0
5.691 5.690 0.0010185248 -0.019511744 0.91835344 0.3952788 0.0
5.712 5.710 -0.0067388373 -0.009279065 0.9191118 0.3938299 0.0
5.732 5.730 -0.012066852 -0.0026573013 0.92113394 0.38904947 0.0
5.751 5.750 -0.012949678 2.5900354E-4 0.92368674 0.3829297 0.0
5.772 5.770 -0.009750138 6.832197E-4 0.92628443 0.37669843 0.0
5.791 5.790 -0.005364591 3.6011654E-5 0.9284819 0.37133914 0.0
5.811 5.810 -0.0013909034 -0.001015974 0.9304431 0.36643228 0.0
5.832 5.830 0.002124713 -0.0017064385 0.9327339 0.3605554 0.0
5.852 5.850 0.005512519 -0.001997404 0.9355247 0.3532125 0.0
5.871 5.870 0.009336637 -0.0025426059 0.9379905 0.346526 0.0
5.894 5.890 0.013421862 -0.0026640831 0.94010574 0.3406082 0.0
5.913 5.910 0.01826824 -0.001241099 0.9417864 0.33571285 0.0
5.931 5.930 0.023292255 0.0019318195 0.943088 0.33172098 0.0
5.951 5.950 0.027111758 0.0056963926 0.9442123 0.32817015 0.0
5.971 5.970 0.030126354 0.007340952 0.9451728 0.32509547 0.0
5.991 5.990 0.032600272 0.006775672 0.94558156 0.32367733 0.0
6.011 6.010 0.03466425 0.0066819442 0.94496536 0.32526034 0.0
6.031 6.030 0.03725207 0.010165418 0.9436093 0.3288018 0.0
6.051 6.050 0.041507468 0.016679188 0.94143206 0.33422247 0.0
6.072 6.070 0.04766181 0.021428315 0.93898594 0.33996278 0.0
6.091 6.090 0.04982856 0.019742388 0.93812746 0.34211737 0.0
6.111 6.110 0.043286804 0.01049702 0.9401418 0.33786035 0.0
6.132 6.130 0.032651864 -8.471502E-4 0.9432112 0.33058417 0.0
6.152 6.150 0.027596312 -0.007183785 0.94486994 0.32620183 0.0
6.171 6.170 0.032001823 -0.0064551015 0.94478965 0.32604712 0.0
6.191 6.190 0.03722341 -0.0050169295 0.9443765 0.3267144 0.0
6.213 6.210 0.040456854 -0.0063726017 0.9442279 0.326736 0.0
6.232 6.230 0.04065233 -0.010619731 0.9446266 0.32544634 0.0
6.252 6.250 0.038950007 -0.015386031 0.9452507 0.3236469 0.0
6.271 6.270 0.037968464 -0.017720409 0.9455604 0.3227381 0.0
6.292 6.290 0.03962332 -0.016624818 0.9452466 0.32351607 0.0
6.311 6.310 0.04260201 -0.01368855 0.9444631 0.32555702 0.0
6.332 6.330 0.04482193 -0.010142357 0.94363403 0.3277848 0.0
6.352 6.350 0.045760296 -0.006085694 0.94310427 0.3292771 0.0
6.372 6.370 0.04579057 -9.966262E-4 0.9426644 0.3305844 0.0
6.391 6.390 0.046340406 0.0051144697 0.94192374 0.33257514 0.0
6.412 6.410 0.046762228 0.011297918 0.94117767 0.33447006 0.0
6.432 6.430 0.046134584 0.017043937 0.940763 0.33547905 0.0
6.452 6.450 0.043796457 0.022083722 0.94111484 0.33451024 0.0
6.472 6.470 0.039631024 0.025615374 0.94242513 0.3310713 0.0
6.491 6.490 0.034709126 0.026818946 0.94437873 0.3259215 0.0
6.513 6.510 0.029843044 0.026826343 0.9466062 0.31988528 0.0
6.531 6.530 0.025361832 0.025909584 0.9490664 0.31298324 0.0
6.551 6.550 0.021639792 0.024657305 0.9516376 0.30546618 0.0
6.571 6.570 0.020529173 0.02369462 0.95402807 0.29807323 0.0
6.591 6.590 0.023588154 0.022941453 0.9558448 0.29202428 0.0
6.611 6.610 0.028930824 0.020484744 0.9570528 0.28773844 0.0
6.633 6.630 0.03375065 0.014397943 0.9583578 0.28320307 0.0
6.653 6.650 0.036077637 0.0031798077 0.9606566 0.27536765 0.0
6.671 6.670 0.037351616 -0.010767379 0.96304065 0.26653638 0.0
6.691 6.690 0.04150151 -0.021943642 0.9642946 0.26063773 0.0
6.712 6.711 0.048646886 -0.02252375 0.9635644 0.26204908 0.0
6.734 6.733 0.051685203 -0.016325878 0.96218276 0.26695803 0.0
6.751 6.750 0.049286265 -0.01213656 0.96143097 0.2703225 0.0
6.771 6.770 0.041027296 -0.005070379 0.9601602 0.27637574 0.0
6.791 6.790 0.032382242 -0.00259783 0.9599666 0.27822432 0.0
6.811 6.810 0.026323752 -0.0014889422 0.96045 0.27720165 0.0
6.831 6.830 0.024854627 -0.0010902246 0.9614047 0.2740111 0.0
6.851 6.850 0.026224239 -7.483855E-4 0.96250856 0.26997966 0.0
6.871 6.870 0.028040387 2.4646535E-4 0.9636249 0.2657835 0.0
6.891 6.890 0.02814335 0.002326657 0.96481276 0.2614171 0.0
6.911 6.910 0.026295261 0.005177599 0.9660639 0.25690913 0.0
6.931 6.930 0.024210354 0.0074125435 0.9672549 0.2525412 0.0
6.951 6.950 0.023024956 0.008405794 0.968361 0.2483467 0.0
6.971 6.970 0.022720119 0.008611588 0.9694495 0.24408478 0.0
6.991 6.990 0.022999886 0.008157331 0.9706737 0.2391592 0.0
7.011 7.010 0.024034774 0.0067579523 0.9719612 0.23381217 0.0
7.031 7.030 0.025381913 0.004256175 0.97319126 0.22855312 0.0
7.051 7.050 0.026727663 9.6315145E-4 0.97418296 0.22417058 0.0
7.071 7.070 0.028304487 -0.0017000862 0.9748734 0.2209478 0.0
7.091 7.090 0.030112186 -0.0023573684 0.97506166 0.21986938 0.0
7.112 7.110 0.031344645 -2.991327E-4 0.97465676 0.22149847 0.0
7.131 7.130 0.032029077 0.003439096 0.97367746 0.22564274 0.0
7.151 7.150 0.032785293 0.006571902 0.9724528 0.2306894 0.0
7.171 7.170 0.031508096 0.0067570144 0.9718076 0.23356318 0.0
7.192 7.190 0.02621888 0.003040098 0.9720618 0.23323636 0.0
7.212 7.210 0.019995667 -0.0012639189 0.9724774 0.23213461 0.0
7.231 7.230 0.018028598 -0.0023527155 0.9721615 0.23360585 0.0
7.251 7.250 0.021137876 -7.2666653E-4 0.97075784 0.23912753 0.0
7.272 7.270 0.023781694 -1.0504457E-4 0.96908635 0.2455731 0.0
7.291 7.290 0.023817243 -0.0019033119 0.96783006 0.25046805 0.0
7.311 7.310 0.02190268 -0.0045163077 0.967006 0.25377026 0.0
7.332 7.330 0.020207254 -0.0060683643 0.96625566 0.25671953 0.0
7.351 7.350 0.021899382 -0.005524671 0.9648759 0.26173368 0.0
