location-gps.txt

This provider determines location using satellites. Depending on conditions, this provider may take a while to return a location fix..
http://developer.android.com/reference/android/location/LocationManager.html

elapsed-time-system elapsed-time-sensor latitude longitude altitude bearing accuracy speed
4.882 5.247 52.00567605905235 4.366845823824406 57.0 258.0 9.0 1.39
5.887 6.248 52.00561625417322 4.366850350052118 66.0 238.3 8.5 0.71999997
6.697 7.048 52.005622666329145 4.366768458858132 63.0 236.6 11.5 0.52
7.376 7.724 52.00558922253549 4.366831993684173 56.0 218.8 6.5 0.82
8.384 8.724 52.005574512295425 4.366808859631419 58.0 213.6 5.5 1.31
9.384 9.724 52.005568142049015 4.366796454414725 57.0 212.1 5.0 1.22
10.383 10.724 52.00556252617389 4.366792682558298 58.0 211.6 4.5 1.3299999
11.365 11.724 52.0055628195405 4.366779858246446 57.0 206.4 4.0 1.5699999
12.351 12.724 52.00555615592748 4.366763178259134 57.0 208.3 3.5 1.55
13.373 13.724 52.00554161332548 4.3667554669082165 57.0 213.2 3.5 1.4599999
14.361 14.724 52.00552572961897 4.366742474958301 59.0 213.9 3.0 1.56
15.386 15.724 52.00551437214017 4.366733422502875 58.0 216.9 3.0 1.36
16.395 16.724 52.005503894761205 4.366721687838435 59.0 215.2 3.0 1.42
17.399 17.724 52.005491238087416 4.36671263538301 59.0 210.9 3.0 1.4599999
18.395 18.724 52.00548076070845 4.366699475795031 59.0 209.8 3.0 1.5799999
19.362 19.724 52.00546915177256 4.366691596806049 60.0 213.8 3.0 1.35
20.377 20.724 52.00545812956989 4.3666786048561335 60.0 211.1 3.0 1.39
21.378 21.724 52.00544853229076 4.366665529087186 58.0 209.8 3.0 1.4599999
22.394 22.724 52.00543956365436 4.366657314822078 58.0 212.6 3.0 1.42
23.389 23.724 52.005426194518805 4.366648010909557 58.0 212.0 3.0 1.4499999
24.388 24.724 52.005411819554865 4.366639461368322 58.0 206.1 2.5 1.52
25.383 25.724 52.005403311923146 4.366625547409058 57.0 205.0 3.0 1.5699999
26.381 26.724 52.005396857857704 4.366615489125252 56.0 208.1 2.5 1.38
27.422 27.724 52.00538453646004 4.3666099570691586 56.0 211.1 2.5 1.43
28.382 28.724 52.00537007767707 4.366598054766655 56.0 211.4 2.5 1.4399999
29.369 29.724 52.005358301103115 4.366578022018075 56.0 211.8 2.5 1.41
30.349 30.724 52.00534380041063 4.3665663711726665 56.0 207.1 2.5 1.28
31.446 31.724 52.00533546041697 4.366558073088527 55.0 208.0 2.5 1.23
32.358 32.724 52.00532691087574 4.36655480414629 55.0 206.2 2.5 1.31
33.386 33.724 52.00531584676355 4.366543488577008 55.0 209.2 2.5 1.4399999
34.387 34.724 52.005308428779244 4.366525299847126 54.0 210.4 2.5 1.37
35.389 35.724 52.005298496223986 4.366517839953303 54.0 209.7 2.5 1.3399999
36.356 36.724 52.00528642628342 4.366506189107895 53.0 208.5 2.0 1.42
37.377 37.724 52.00527620036155 4.366493029519916 53.0 209.8 2.5 1.39
38.446 38.724 52.00526517815888 4.3664786126464605 52.0 205.9 2.0 1.4699999
39.394 39.724 52.00525239575654 4.366466794162989 53.0 205.2 2.0 1.52
40.367 40.724 52.00524049345404 4.3664556462317705 53.0 206.9 2.0 1.4499999
41.397 41.724 52.005230225622654 4.366449108347297 52.0 204.3 2.0 1.48
42.379 42.724 52.00521618593484 4.36643754132092 52.0 207.1 2.0 1.55
43.391 43.724 52.00520223006606 4.366426561027765 52.0 209.1 2.0 1.51
44.377 44.724 52.005188525654376 4.366416083648801 52.0 211.5 2.0 1.4399999
45.375 45.724 52.00517788063735 4.3664073664695024 52.0 209.6 2.0 1.5
46.393 46.724 52.005164846777916 4.3664011638611555 52.0 207.0 2.0 1.4699999
47.390 47.724 52.00515164528042 4.366390518844128 52.0 209.2 2.0 1.55
48.380 48.724 52.005140581168234 4.366379203274846 52.0 209.8 2.0 1.5
49.387 49.724 52.005129433237016 4.366370569914579 52.0 207.9 2.0 1.4599999
50.389 50.724 52.00511874631047 4.366357997059822 52.0 210.1 1.5 1.5
51.388 51.724 52.005105167627335 4.366349698975682 52.0 202.5 1.5 1.66
52.378 52.724 52.005090080201626 4.366343664005399 52.0 202.6 1.5 1.56
53.376 53.724 52.00507771689445 4.366331174969673 52.0 206.9 1.5 1.4499999
54.399 54.724 52.00506485067308 4.366323379799724 52.0 207.5 1.5 1.4499999
55.363 55.724 52.005049721337855 4.366310136392713 52.0 206.0 2.0 1.53
56.388 56.724 52.005036561749876 4.366299072280526 52.0 206.4 2.0 1.5699999
57.376 57.724 52.00502273160964 4.366286834701896 52.0 214.0 2.0 1.51
58.379 58.724 52.00501032639295 4.36627677641809 52.0 219.1 2.0 1.43
59.405 59.724 52.00499846599996 4.366263197734952 53.0 221.1 2.0 1.4699999
60.386 60.724 52.00498463585973 4.36624551191926 53.0 230.6 2.0 1.5899999
61.374 61.724 52.004975751042366 4.366224724799395 53.0 234.9 2.0 1.5
62.381 62.724 52.00496783014387 4.366206871345639 53.0 237.7 2.0 1.4599999
63.358 63.724 52.00496380683035 4.366184826940298 53.0 239.0 2.0 1.4599999
64.379 64.724 52.00495672412217 4.366162279620767 53.0 239.6 2.0 1.5799999
65.369 65.724 52.00495261698961 4.3661373015493155 53.0 240.5 2.0 1.54
66.364 66.724 52.004948132671416 4.366119783371687 53.0 240.9 2.0 1.4699999
67.387 67.724 52.00494255870581 4.366100588813424 53.0 238.2 2.0 1.49
68.378 68.724 52.00493585318327 4.366081058979034 53.0 241.7 2.0 1.51
69.379 69.724 52.00492885429412 4.366062954068184 53.0 237.6 2.0 1.55
70.380 70.724 52.004920430481434 4.366045519709587 53.0 241.3 2.0 1.48
71.400 71.724 52.00491250958294 4.366029007360339 53.0 238.1 2.0 1.38
72.396 72.724 52.00490651652217 4.3660106509923935 53.0 235.6 2.0 1.43
73.383 73.724 52.00490416958928 4.365990534424782 53.0 240.7 2.0 1.42
74.381 74.724 52.00490186456591 4.365968573838472 54.0 242.8 2.0 1.36
75.397 75.724 52.0049015711993 4.365948121994734 54.0 243.6 2.0 1.3299999
76.384 76.724 52.00490199029446 4.365926831960678 54.0 245.9 2.0 1.29
77.392 77.724 52.004900397732854 4.365907134488225 54.0 247.0 2.0 1.29
78.400 78.724 52.00488937553018 4.365891544148326 54.0 240.6 2.0 1.3399999
79.403 79.724 52.00487906578928 4.365875702351332 53.0 239.3 2.0 1.4
80.383 80.724 52.00487273745239 4.365856591612101 53.0 245.0 2.0 1.3399999
81.388 81.724 52.00486657675356 4.365837061777711 53.0 257.4 2.0 1.39
82.381 82.724 52.00486343353987 4.365816526114941 52.0 266.0 2.0 1.42
83.401 83.724 52.00486309826374 4.365798253566027 52.0 285.7 2.0 1.37
84.389 84.724 52.00486808549613 4.3657812383025885 51.0 311.6 2.0 1.3299999
85.379 85.724 52.00487931724638 4.365763971582055 51.0 322.3 2.5 1.49
86.383 86.724 52.00489163864404 4.3657479621469975 50.0 323.3 2.0 1.41
87.390 87.724 52.00490257702768 4.3657332099974155 50.0 324.6 2.0 1.51
88.385 88.724 52.00491074938327 4.36572072096169 49.0 320.4 2.0 1.4399999
89.391 89.724 52.00492038857192 4.365705633535981 49.0 315.6 2.0 1.38
90.385 90.724 52.00493300333619 4.365688618272543 49.0 316.2 2.5 1.35
91.389 91.724 52.004942768253386 4.365673195570707 48.0 310.8 2.0 1.43
92.385 92.724 52.00494892895222 4.3656545877456665 48.0 304.0 2.0 1.42
93.395 93.724 52.004957646131516 4.365641260519624 49.0 311.4 2.5 1.13
94.390 94.724 52.00496690813452 4.36563178896904 49.0 330.5 2.5 1.3199999
95.405 95.724 52.004978684708476 4.365618294104934 49.0 343.0 2.5 1.3299999
96.378 96.724 52.0049895811826 4.365606810897589 49.0 348.7 2.5 1.39
97.398 97.724 52.005003369413316 4.365595579147339 49.0 349.8 2.5 1.4399999
98.390 98.724 52.005014726892114 4.365581497550011 49.0 346.2 2.5 1.36
99.392 99.724 52.0050265872851 4.365573618561029 48.0 342.3 3.0 1.23
100.385 100.724 52.00503442436457 4.365558950230479 48.0 336.7 3.0 1.05
101.360 101.724 52.0050437701866 4.365548305213451 48.0 335.4 3.0 1.24
