gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
1.174 1.174 -0.00235188 -0.0024373438 -0.0058826255
1.185 1.184 0.0098654255 0.0012278482 -0.002828299
1.195 1.194 0.014141481 -0.00182648 -0.00527176
1.204 1.204 0.008643694 -0.0036590751 -0.004660895
1.215 1.214 7.024482E-4 -0.014654649 -0.008326086
1.224 1.224 -0.0072388053 -0.015265515 -0.013213009
1.234 1.234 -0.008460537 -0.026261088 -0.015045604
1.244 1.244 -0.0017410144 -0.028093684 -0.011991277
1.254 1.254 0.0049785003 -0.026871953 -0.009547817
1.264 1.264 -0.010293126 -0.004269939 -0.0016065687
1.276 1.274 -0.024343029 0.012834288 2.260264E-4
1.284 1.284 -0.010293126 0.026884187 -0.006493491
1.294 1.294 0.007421963 0.026273321 -0.0040500294
1.304 1.304 -0.0066279396 0.007947367 -0.006493491
1.314 1.314 -0.033506006 -0.018930705 -0.012602143
1.324 1.324 -0.01945611 -0.06841079 -0.037036754
1.334 1.334 0.05934551 -0.12888645 -0.03642589
1.344 1.344 0.15647309 -0.16981441 0.023438906
1.354 1.354 0.11126906 -0.023817629 0.047873512
1.364 1.364 0.045906473 0.033603705 0.01794112
1.374 1.374 0.031856574 0.024440728 2.260264E-4
1.384 1.384 0.01291975 -0.0073242653 0.011221601
1.394 1.394 -0.024953894 -0.039700124 0.020995444
1.404 1.404 -0.061605804 -0.034813203 0.006334679
1.414 1.414 -0.10192292 -0.0207633 -0.019932527
1.427 1.424 -0.11169676 -0.04275445 -0.03642589
1.434 1.434 -0.09214907 -0.08184983 -0.03642589
1.444 1.444 -0.05610802 -0.10017578 -0.011380413
1.454 1.454 -0.043890715 -0.037867527 0.00877814
1.465 1.464 -0.03594947 0.0372689 0.0051129498
1.474 1.474 -0.022510432 0.05742745 -0.010158682
1.484 1.484 -0.008460537 0.037879765 -0.007104356
1.494 1.494 -0.00235188 0.015277747 -9.95703E-4
1.504 1.504 0.0025350377 0.0036713071 -9.95703E-4
1.514 1.514 0.0098654255 -0.0073242653 -0.010769548
1.524 1.524 0.0062002316 -0.04703051 -0.02604118
1.534 1.534 -0.020066977 -0.063523866 -0.014434739
1.545 1.544 -0.04999937 -0.061691273 -0.0040500294
1.554 1.554 -0.055497162 -0.052528292 -0.0022174343
1.569 1.564 -0.03289514 -0.052528292 -9.95703E-4
1.575 1.574 9.158254E-5 -0.007935131 -0.00527176
1.584 1.584 0.017806672 0.014666881 -0.007104356
1.594 1.594 0.02452619 0.025051594 -0.011380413
1.604 1.604 0.030023977 0.025051594 -0.014434739
1.614 1.614 0.031856574 0.023218997 -0.014434739
1.624 1.624 0.017806672 0.020775534 -0.013213009
1.634 1.634 -0.016401783 0.0012278482 -0.019932527
1.644 1.644 -0.026786491 -0.021374166 -0.021154257
1.654 1.654 -0.0212887 -0.024428494 -0.011991277
1.664 1.664 -0.008460537 0.0012278482 -0.0040500294
1.674 1.674 0.0043676347 0.022608131 -0.009547817
1.684 1.684 0.025137056 0.036047168 -0.010769548
1.694 1.694 0.036743496 0.04337755 -0.00527176
1.704 1.704 0.03246744 0.04154495 -0.0016065687
1.714 1.714 0.015363213 0.029938512 -0.0058826255
1.724 1.724 -0.0047953427 0.00977996 -0.012602143
1.734 1.734 -0.01395832 6.169826E-4 -0.010769548
1.744 1.744 -0.012125723 0.0067256354 -0.0077152215
1.754 1.754 0.0068110973 6.169826E-4 -0.013823873
1.764 1.764 0.019028403 0.0036713071 -0.015045604
1.774 1.774 0.018417537 0.010390826 -0.012602143
1.784 1.784 0.008032829 6.169826E-4 -0.0077152215
1.794 1.794 0.005589366 -0.009767728 -0.009547817
1.804 1.804 9.158254E-5 -0.014043784 -0.008936952
1.814 1.814 -0.012125723 -0.0073242653 -0.0077152215
1.824 1.824 -0.015790917 -0.0024373438 -0.00527176
1.834 1.834 -0.00235188 -0.0073242653 -0.008326086
1.844 1.844 0.005589366 -0.009156862 -0.010158682
1.854 1.854 -0.0072388053 -0.0030482095 -0.0077152215
1.864 1.864 -0.027397357 -0.006102536 -0.004660895
1.874 1.874 -0.032284275 -0.016487245 -0.004660895
1.884 1.884 -0.010903992 -0.017708976 -0.007104356
1.903 1.894 0.010476291 -0.006102536 -0.008936952
1.904 1.904 0.01291975 0.008558229 -0.008326086
1.914 1.914 0.0031459033 0.010390826 -0.009547817
1.924 1.924 0.0031459033 0.0018387139 -0.008326086
1.934 1.934 0.010476291 -0.0030482095 -0.0058826255
1.944 1.944 0.0098654255 -0.0073242653 -0.0040500294
1.954 1.954 9.158254E-5 -0.021985032 -0.0058826255
1.964 1.964 -0.0066279396 -0.036645796 -0.0034391647
1.974 1.974 -0.015790917 -0.03236974 8.3689205E-4
1.984 1.984 -0.020066977 -0.009156862 -0.0016065687
1.994 1.994 -0.012736589 0.01772121 -0.0016065687
2.004 2.004 0.0019241795 0.048264474 -0.0058826255
2.014 2.014 0.012308884 0.06048178 -0.010769548
2.024 2.024 7.024482E-4 0.04887534 -0.008936952
2.034 2.034 -0.008460537 0.023218997 -0.006493491
2.044 2.044 -0.018845245 -6.047487E-4 -0.0077152215
2.054 2.054 -0.02556476 -0.010989457 -0.00527176
2.064 2.064 -0.026786491 6.169826E-4 -0.0034391647
2.074 2.074 -0.012736589 0.03299284 -0.0022174343
2.084 2.084 7.024482E-4 0.040934086 2.260264E-4
2.094 2.094 0.013530616 0.0030604415 -0.002828299
2.104 2.104 0.036743496 -0.047641374 -0.008326086
2.114 2.114 0.03979782 -0.063523866 -0.004660895
2.124 2.124 0.01291975 -0.052528292 0.0020586234
2.134 2.134 -0.026786491 -0.04703051 -0.007104356
2.144 2.144 -0.023121297 -0.02870455 -0.012602143
2.154 2.154 -0.0035736114 -0.007935131 -0.0077152215
2.164 2.164 -0.004184477 0.014056016 8.3689205E-4
2.174 2.174 -0.01823438 0.027495053 0.0051129498
2.184 2.184 -0.011514857 0.031160243 0.0014477577
2.194 2.194 -0.0011301488 0.015888613 0.0026694871
2.204 2.204 0.0013133138 -0.0036590751 0.009389006
2.214 2.214 0.003756769 -0.021985032 0.012443332
2.224 2.224 9.158254E-5 -0.018930705 0.008167274
2.234 2.234 -0.0066279396 -0.0207633 -0.0034391647
2.244 2.244 -0.018845245 -0.0207633 -0.006493491
2.254 2.254 -0.03106255 -0.043365315 -3.8483832E-4
2.264 2.264 -0.034727737 -0.028093684 0.006945545
2.274 2.274 -0.024953894 0.013445154 0.0026694871
2.284 2.284 0.0043676347 0.0213864 -0.009547817
