loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G)
2020-07-29 15:58:20.733 +0200,78796.617496875,0.0003204345703125,0.096405029296875,-0.996734619140625,78796.599945875,1.784535561858376,0.006714805491679596,-0.1020016110030684,0.007777564227581024,-0.0107793165370822,0.002439008094370365,-0.02104384079575539,0.00676022469997406,-0.001278460025787354,XArbitraryZVertical,-0.03460683216998912,-0.03758202324119775,0.7773730596632449,0.626961774626808,0.006679853890091181,0.1018248274922371,-0.9947799444198608
2020-07-29 15:58:20.736 +0200,78796.63753187501,0.004180908203125,0.102935791015625,-1.00189208984375,78796.61998087501,1.784396050670619,0.006467909082391834,-0.1016409853015221,0.000679441262036562,-0.01341611240059137,-0.01181681640446186,-0.005957633256912231,-0.002594321966171265,-0.001790463924407959,XArbitraryZVertical,-0.03440048107568306,-0.03751680873108689,0.7773411055716436,0.627016719023298,0.006434483453631401,0.101466067135334,-0.9948182106018066
2020-07-29 15:58:20.756 +0200,78796.657566875,0.0009307861328125,0.09552001953125,-0.9957427978515625,78796.640015875,1.784109622496456,0.006228734207755365,-0.1010638072538209,0.023381557315588,-0.005936092231422663,-0.01747089810669422,-0.001865362748503685,0.00449669361114502,-0.006889462471008301,XArbitraryZVertical,-0.0341319925298453,-0.03736251433624908,0.7772673449186812,0.6271319779101509,0.006196911446750164,0.1008918508887291,-0.9948781132698059
2020-07-29 15:58:20.776 +0200,78796.67760187501,-0.0023193359375,0.0902557373046875,-0.9937591552734375,78796.660050875,1.783784247845622,0.006125423884275001,-0.1000114198976183,0.02786538936197758,-0.007785657420754433,-0.01340352743864059,-0.005015835165977478,-0.001897469162940979,-0.0006365180015563965,XArbitraryZVertical,-0.03376798942066604,-0.03698031474528424,0.7771886573412838,0.6272718317395264,0.006094777025282383,0.09984477609395981,-0.9949843287467957
2020-07-29 15:58:20.796 +0200,78796.697636875,0.0037078857421875,0.093505859375,-1.002761840820312,78796.68008587501,1.783555285782882,0.005706846342013685,-0.1002229487778311,0.01346980500966311,-0.0008814125321805477,-0.008738735690712929,-0.007859485223889351,-0.00736711174249649,0.001328885555267334,XArbitraryZVertical,-0.03367590824725335,-0.03718995581077965,0.7771195908324219,0.6273500083603027,0.005678177811205387,0.1000552475452423,-0.994965672492981
2020-07-29 15:58:20.816 +0200,78796.717671875,0.0004119873046875,0.098968505859375,-0.99615478515625,78796.700120875,1.783463509534343,0.005537697354816038,-0.09967717366397734,0.02145036682486534,-0.003955765627324581,0.002539028646424413,-0.001668350771069527,-0.003587149083614349,-0.007619738578796387,XArbitraryZVertical,-0.03344074534099207,-0.03702936427662415,0.7771047263829228,0.6273904705880837,0.005510182119905949,0.09951219707727432,-0.9950211048126221
2020-07-29 15:58:20.836 +0200,78796.73770687501,-0.0010833740234375,0.0870361328125,-0.9909515380859375,78796.72015587501,1.783518821742679,0.005378241046450225,-0.09953939493230982,0.02436825819313526,-0.0009386702440679073,0.006835430394858122,-0.004809519276022911,0.002009257674217224,-0.0009984374046325684,XArbitraryZVertical,-0.03333455802795117,-0.03702676151219449,0.7771275238322667,0.6273680169672993,0.005351593252271414,0.09937509894371033,-0.9950356483459473
2020-07-29 15:58:20.856 +0200,78796.757741875,0.0072479248046875,0.0921478271484375,-1.002655029296875,78796.740190875,1.78354570782114,0.005388030191573921,-0.09930570995141817,-0.004799879156053066,0.01145301759243011,-0.0004792837426066399,-0.006314503028988838,-0.009696237742900848,0.004227399826049805,XArbitraryZVertical,-0.03326458621285783,-0.03693331437556538,0.777140515107103,0.6273611967745427,0.005361458752304316,0.09914257377386093,-0.9950587749481201
2020-07-29 15:58:20.876 +0200,78796.777775875,-0.002655029296875,0.099884033203125,-0.9962921142578125,78796.760225875,1.783589812871398,0.005430982111335734,-0.09915043267400871,0.001723799854516983,-0.004331537522375584,0.008275439962744713,0.001975012943148613,-0.004433788359165192,-0.007461309432983398,XArbitraryZVertical,-0.03323177186418407,-0.03686022428424117,0.7771567648748802,0.6273471145047261,0.00540428189560771,0.09898805618286133,-0.9950739741325378
2020-07-29 15:58:20.896 +0200,78796.79781087501,0.0017852783203125,0.08514404296875,-0.9921875,78796.780259875,1.783733080804221,0.005333604804401178,-0.09860840391449494,0.01838919520378113,0.004562088754028082,0.007325642742216587,-0.007833678275346756,0.003828689455986023,-0.001045703887939453,XArbitraryZVertical,-0.03302134033309731,-0.03668246915899244,0.7772141907925945,0.627297452818927,0.005307669751346111,0.09844867885112762,-0.9951279759407043
2020-07-29 15:58:20.920 +0200,78796.817845875,0.0050048828125,0.0925140380859375,-1.000823974609375,78796.80029487501,1.783835817745388,0.005424357990280451,-0.09890004862320144,-0.02188032865524292,0.008305693045258522,0.005269948393106461,-0.003481334075331688,-0.01119447499513626,0.003030359745025635,XArbitraryZVertical,-0.03314616246908014,-0.03676906574497602,0.7772390657034357,0.6272549906508359,0.005397824570536613,0.0987389013171196,-0.9950987100601196
