loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G)
2020-07-29 15:23:46.496 +0200,77993.115922375,-0.17596435546875,-0.20513916015625,-0.9631500244140625,77993.10337937501,-2.877522996735546,-0.1932262006714982,0.2139992859403605,0.03355336561799049,-0.009365417063236237,-0.00568440742790699,-0.01376540958881378,-0.01428939402103424,0.02559942007064819,XArbitraryZVertical,-0.08108216223131609,-0.1179992076062918,-0.9823866598680185,0.1200760234726169,-0.187645822763443,-0.2123696506023407,-0.959003746509552
2020-07-29 15:23:46.511 +0200,77993.135958375,-0.202117919921875,-0.1867523193359375,-0.9898529052734375,77993.12341537501,-2.877778061981858,-0.1931469118851104,0.2133160267049411,0.04280265793204308,-0.01513941679149866,-0.0259792935103178,0.007275089621543884,0.00164465606212616,-0.003040492534637451,XArbitraryZVertical,-0.08110621002273402,-0.1176494070171381,-0.98243684778504,0.1199926659312534,-0.1875975877046585,-0.2117019295692444,-0.9591608047485352
2020-07-29 15:23:46.529 +0200,77993.155994375,-0.1886138916015625,-0.200775146484375,-0.9611358642578125,77993.143451375,-2.878294760713933,-0.1928584074849104,0.2136774487573007,0.07610828429460526,-0.01032788306474686,-0.03985382616519928,-0.0191631019115448,0.02037651836872101,-0.02976393699645996,XArbitraryZVertical,-0.08096956161193755,-0.1177882309449475,-0.9824627941696709,0.1197361567553696,-0.1873061805963516,-0.2120551466941833,-0.9591397047042847
2020-07-29 15:23:46.539 +0200,77993.17603037501,-0.179290771484375,-0.2171478271484375,-0.9557647705078125,77993.163487375,-2.878949639837385,-0.1927288658966972,0.2141313533062162,0.05975461378693581,-0.01820098608732224,-0.04180075228214264,-0.00579853355884552,0.00678686797618866,-0.001115560531616211,XArbitraryZVertical,-0.08091276144594532,-0.1179763425989152,-0.9824861693263256,0.1193974156520751,-0.1871634721755981,-0.2124986946582794,-0.9590694308280945
2020-07-29 15:23:46.558 +0200,77993.19606637501,-0.1967926025390625,-0.2394256591796875,-0.95440673828125,77993.183523375,-2.879817050832799,-0.1927441100947144,0.2158380198900474,0.06170937046408653,0.004307251423597336,-0.1142086014151573,0.003470748662948608,-0.007957175374031067,0.003903687000274658,XArbitraryZVertical,-0.08085246487150624,-0.1187782482257848,-0.982457511542698,0.1188775471736241,-0.1871083527803421,-0.2141660749912262,-0.9587092399597168
2020-07-29 15:23:46.578 +0200,77993.21610237501,-0.1755828857421875,-0.2447967529296875,-0.95928955078125,77993.203559375,-2.880889550639378,-0.1921790965903566,0.2177328335033541,0.07477644085884094,-0.009485259652137756,-0.04902411997318268,-0.01463618874549866,-0.02842746675014496,0.004974067211151123,XArbitraryZVertical,-0.08050697292567492,-0.1196297096724239,-0.9824544811166516,0.1182813480143248,-0.1864887923002243,-0.2160165458917618,-0.9584147334098816
2020-07-29 15:23:46.598 +0200,77993.23613837501,-0.210540771484375,-0.19342041015625,-0.9680938720703125,77993.22359537501,-2.880751699697012,-0.1926146981632424,0.2174217008535438,-0.03780283778905869,-0.0169501006603241,0.02824761345982552,0.006993800401687622,-0.03409537672996521,7.623434066772461e-05,XArbitraryZVertical,-0.08073432282396802,-0.1195086124447443,-0.9824435863298145,0.1183399698714739,-0.1869191229343414,-0.2157127410173416,-0.9583992958068848
2020-07-29 15:23:46.618 +0200,77993.256174375,-0.177642822265625,-0.1748504638671875,-0.98834228515625,77993.24363137501,-2.881003046021825,-0.193214531873878,0.2170259048999725,0.07488496601581573,-0.009700442664325237,-0.03582891449332237,-0.02738660573959351,0.01690346002578735,-0.008756041526794434,XArbitraryZVertical,-0.08107149344915168,-0.1193400352514377,-0.9824528332732378,0.1182022206865666,-0.1875103563070297,-0.2153262495994568,-0.9583707451820374
2020-07-29 15:23:46.638 +0200,77993.276210375,-0.17156982421875,-0.199371337890625,-0.9649810791015625,77993.26366737501,-2.881449750550865,-0.1935368261951311,0.2186389960735187,0.1069944277405739,-0.04109112173318863,-0.02067454345524311,0.005747556686401367,0.03701180219650269,-0.02939766645431519,XArbitraryZVertical,-0.08114456011692588,-0.1201311086086168,-0.9823896781759216,0.1178754380365499,-0.1877521723508835,-0.2169012278318405,-0.9579681754112244
2020-07-29 15:23:46.658 +0200,77993.296246375,-0.1882781982421875,-0.2404632568359375,-0.9075927734375,77993.28370337501,-2.880917867226393,-0.194222775197758,0.2201178383077334,-0.1098080575466156,-0.01874933019280434,0.1160124689340591,0.01240161061286926,0.01390068233013153,-0.006470918655395508,XArbitraryZVertical,-0.08134667184634663,-0.1209174837449722,-0.9822598091815482,0.1180143508941917,-0.1883471310138702,-0.2183446139097214,-0.9575233459472656
2020-07-29 15:23:46.678 +0200,77993.316282375,-0.17999267578125,-0.2945404052734375,-0.95794677734375,77993.303739375,-2.880930009142825,-0.1938915270571656,0.2192226946049404,-0.04266243800520897,0.004043332301080227,0.03351732343435287,-0.004579931497573853,-0.02804462611675262,0.05116528272628784,XArbitraryZVertical,-0.08124697567560696,-0.1204590321629223,-0.982316780928524,0.1180774446017576,-0.1880675256252289,-0.2174709886312485,-0.9577770829200745
