rotation-vector.txt

Estimated-heading-accuracy is in radians. The rotation vector represents the orientation of the device as a combination of an angle and an axis, in which the device has rotated through an angle θ around an axis <x, y, z>. The reference coordinate system is defined as a direct orthonormal basis, where: X is defined as the vector product Y.Z (It is tangential to the ground at the device's current location and roughly points East). Y is tangential to the ground at the device's current location and points towards magnetic north. Z points towards the sky and is perpendicular to the ground.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x*sin(θ/2) y*sin(θ/2) z*sin(θ/2) cos(θ/2) estimated-heading-accuracy
0.823 0.823 -0.0013196716 0.011689959 -0.9304089 0.36633435 0.0
0.833 0.833 -8.3407306E-4 0.012146569 -0.9304713 0.3661624 0.0
0.843 0.843 -0.0011487307 0.011758654 -0.93027955 0.36666113 0.0
0.853 0.853 -9.896613E-4 0.012407936 -0.930975 0.36487052 0.0
0.863 0.863 -0.0010411164 0.0115210125 -0.9310523 0.36470255 0.0
0.873 0.873 -0.0010129034 0.011557567 -0.93087626 0.3651506 0.0
0.883 0.883 -0.001048456 0.012701589 -0.9308668 0.3651365 0.0
0.893 0.893 -9.760033E-4 0.012242387 -0.9311645 0.3643925 0.0
0.903 0.903 -9.484851E-4 0.012281821 -0.9310124 0.36477965 0.0
0.914 0.913 -0.0015509 0.011790663 -0.9310251 0.36476162 0.0
0.923 0.923 -0.0014961064 0.011810955 -0.9312673 0.3641422 0.0
0.933 0.933 -0.0014761296 0.011838074 -0.9306546 0.36570466 0.0
0.943 0.943 -0.0014406133 0.011873097 -0.930598 0.36584738 0.0
0.953 0.953 -0.0013816642 0.011911702 -0.93116516 0.3644006 0.0
0.966 0.964 -0.0013510121 0.011951383 -0.9311065 0.36454907 0.0
0.974 0.973 -0.0010396267 0.012705601 -0.9311004 0.3645403 0.0
0.984 0.983 -0.0011594166 0.011681814 -0.93117744 0.36437753 0.0
0.994 0.993 -0.0011270504 0.01171361 -0.93098503 0.3648679 0.0
1.004 1.003 -0.0010973295 0.0117523465 -0.9309915 0.36485 0.0
1.014 1.013 -0.0010846504 0.011780713 -0.93036264 0.36644968 0.0
1.024 1.023 -0.0010481152 0.011818948 -0.9303681 0.36643457 0.0
1.035 1.034 -9.635802E-4 0.011854992 -0.9314839 0.3635881 0.0
1.045 1.044 -9.28601E-4 0.011889122 -0.93148607 0.36358157 0.0
1.054 1.053 -8.912679E-4 0.011934001 -0.9314881 0.36357495 0.0
1.064 1.063 -0.00174629 0.011519374 -0.9314072 0.36379254 0.0
1.074 1.073 -0.0016860927 0.011546544 -0.9318881 0.36255825 0.0
1.084 1.083 -0.001647175 0.011578919 -0.93189365 0.36254314 0.0
1.094 1.094 -0.0016040725 0.011610418 -0.9318107 0.36275536 0.0
1.104 1.103 -0.0015579286 0.011648737 -0.9318129 0.3627487 0.0
1.114 1.114 -0.0015670403 0.011640163 -0.93124664 0.36420032 0.0
1.124 1.124 -0.001565843 0.011637557 -0.9312462 0.36420146 0.0
1.134 1.134 -0.0015641883 0.01163778 -0.931298 0.36406904 0.0
1.145 1.144 -0.0015627084 0.011637979 -0.93134433 0.3639506 0.0
1.155 1.154 -0.0015613573 0.01163816 -0.9313865 0.3638425 0.0
1.165 1.164 -0.0015601488 0.011638322 -0.93142426 0.36374578 0.0
1.174 1.174 -0.0015590513 0.011638469 -0.93145853 0.36365795 0.0
1.184 1.184 -0.0015580588 0.011638602 -0.9314895 0.36357853 0.0
1.194 1.193 -0.0015589945 0.0116384765 -0.9314603 0.36365342 0.0
1.204 1.204 -0.0015598487 0.011638362 -0.9314336 0.3637218 0.0
1.214 1.214 -0.0015588023 0.011638503 -0.93146634 0.36363804 0.0
1.227 1.224 -0.0015578666 0.011638628 -0.9314956 0.36356315 0.0
1.237 1.235 -0.0015569685 0.011638748 -0.9315237 0.36349127 0.0
1.244 1.244 -0.001556178 0.011638855 -0.93154836 0.363428 0.0
1.254 1.253 -0.001555437 0.011638953 -0.9315715 0.3633687 0.0
1.267 1.264 -0.0015547749 0.011639042 -0.93159217 0.3633157 0.0
1.274 1.273 -0.0015541709 0.011639123 -0.931611 0.36326736 0.0
1.284 1.284 -0.0015499991 0.011642792 -0.93162674 0.36322695 0.0
1.294 1.293 -0.0015455709 0.011647011 -0.9316399 0.36319277 0.0
1.305 1.304 -0.0015414972 0.011651522 -0.9316532 0.36315858 0.0
1.314 1.314 -0.0015410696 0.011651578 -0.93166655 0.3631244 0.0
1.324 1.324 -0.0015406422 0.011651635 -0.93167984 0.36309022 0.0
1.334 1.333 -0.0015403113 0.011651679 -0.93169016 0.36306375 0.0
1.344 1.343 -0.0015399803 0.011651723 -0.93170047 0.3630373 0.0
1.354 1.353 -0.001538719 0.01165591 -0.93165594 0.36315173 0.0
1.364 1.364 -0.001536812 0.0116597675 -0.9316159 0.36325428 0.0
1.374 1.373 -0.00153226 0.011664339 -0.93163157 0.3632139 0.0
1.384 1.383 -0.0015275342 0.011668689 -0.9316448 0.36317977 0.0
1.394 1.393 -0.0015243345 0.011672155 -0.93160474 0.36328235 0.0
1.404 1.403 -0.0015205697 0.011675553 -0.93156844 0.36337537 0.0
1.414 1.413 -0.0015168074 0.0116786035 -0.93153626 0.36345768 0.0
1.424 1.423 -0.0015129506 0.011681636 -0.9315064 0.36353412 0.0
1.434 1.433 -0.0015138268 0.011681522 -0.93147916 0.36360398 0.0
1.444 1.443 -0.0015096536 0.011684333 -0.9314546 0.36366677 0.0
1.454 1.454 -0.0015104188 0.011684234 -0.93143076 0.36372778 0.0
1.464 1.464 -0.0015110822 0.011684149 -0.93141013 0.36378065 0.0
1.474 1.474 -0.0015116241 0.011684079 -0.93139327 0.36382386 0.0
1.485 1.484 -0.0015121311 0.0116840135 -0.9313775 0.36386427 0.0
1.495 1.494 -0.0015125597 0.011683958 -0.9313641 0.36389843 0.0
1.505 1.504 -0.0015090237 0.011687227 -0.93135214 0.363929 0.0
1.515 1.514 -0.001505033 0.011690918 -0.93134016 0.36395958 0.0
1.524 1.524 -0.0015053651 0.0116908755 -0.93132985 0.36398605 0.0
1.535 1.534 -0.0015056973 0.011690833 -0.9313195 0.3640125 0.0
1.548 1.544 -0.001505889 0.0116908075 -0.9313135 0.3640278 0.0
1.555 1.554 -0.0015060807 0.011690782 -0.93130755 0.3640431 0.0
1.567 1.564 -0.0015062725 0.011690757 -0.9313016 0.36405838 0.0
1.574 1.574 -0.0015046668 0.011690964 -0.9313516 0.36393046 0.0
1.584 1.584 -0.0015032178 0.01169115 -0.9313967 0.36381504 0.0
1.595 1.594 -0.0015019022 0.01169132 -0.9314377 0.36371022 0.0
1.604 1.604 -0.0015007193 0.011691472 -0.93147445 0.363616 0.0
1.615 1.614 -0.0014996509 0.0116916085 -0.93150765 0.36353087 0.0
1.627 1.624 -0.0014986725 0.011691734 -0.93153805 0.3634529 0.0
1.634 1.634 -0.0014977932 0.011691847 -0.9315654 0.36338285 0.0
1.645 1.644 -0.001497002 0.011691948 -0.93159 0.3633198 0.0
1.654 1.654 -0.001496284 0.011692041 -0.9316123 0.36326262 0.0
1.664 1.664 -0.0014956475 0.011692121 -0.931632 0.3632119 0.0
1.674 1.674 -0.0014968762 0.011691963 -0.93159384 0.3633098 0.0
1.685 1.684 -0.001497995 0.01169182 -0.9315591 0.36339894 0.0
1.698 1.694 -0.0014990102 0.0116916895 -0.93152755 0.36347982 0.0
1.706 1.704 -0.001496751 0.011695613 -0.9314989 0.36355317 0.0
1.714 1.714 -0.0014944049 0.011699563 -0.9314735 0.36361805 0.0
1.724 1.724 -0.0014951483 0.011699468 -0.93145037 0.36367723 0.0
1.734 1.734 -0.0014941694 0.011699593 -0.9314808 0.3635993 0.0
1.744 1.744 -0.0014932689 0.011699707 -0.9315088 0.36352763 0.0
1.754 1.754 -0.0014941486 0.011699595 -0.9314814 0.36359766 0.0
1.765 1.764 -0.0014949401 0.011699493 -0.9314568 0.3636607 0.0
1.774 1.774 -0.0014956584 0.011699401 -0.93143445 0.36371788 0.0
1.785 1.784 -0.0014962951 0.01169932 -0.93141466 0.36376858 0.0
1.795 1.794 -0.0014950361 0.011699481 -0.9314538 0.36366835 0.0
1.805 1.804 -0.0014939165 0.011699624 -0.93148863 0.3635792 0.0
1.815 1.814 -0.0014928826 0.011699757 -0.93152076 0.3634969 0.0
1.824 1.824 -0.0014919421 0.011699877 -0.93154997 0.363422 0.0
1.835 1.834 -0.0014911053 0.011699984 -0.93157595 0.3633554 0.0
1.847 1.844 -0.0014903873 0.011700075 -0.93159825 0.3632982 0.0
1.854 1.854 -0.0014897507 0.011700156 -0.93161803 0.3632475 0.0
1.864 1.864 -0.0014891436 0.011700233 -0.93163687 0.36319917 0.0
1.874 1.874 -0.0014885677 0.011700307 -0.93165475 0.3631533 0.0
1.884 1.884 -0.0014843075 0.011704735 -0.9316704 0.3631129 0.0
1.894 1.894 -0.0014804028 0.011708532 -0.9316824 0.3630824 0.0
1.904 1.904 -0.0014802105 0.011708556 -0.93168825 0.3630671 0.0
1.914 1.914 -0.0014816356 0.011708376 -0.9316441 0.3631805 0.0
1.924 1.924 -0.0014829247 0.011708213 -0.9316041 0.36328307 0.0
1.934 1.934 -0.0014841246 0.011708061 -0.93156683 0.36337855 0.0
1.945 1.944 -0.0014852114 0.011707923 -0.9315331 0.36346504 0.0
1.954 1.954 -0.0014843963 0.011708027 -0.93155843 0.3634002 0.0
1.964 1.964 -0.0014836524 0.011708121 -0.9315815 0.363341 0.0
1.974 1.974 -0.0014830154 0.011708202 -0.9316013 0.3632903 0.0
1.984 1.984 -0.0014824079 0.011708279 -0.9316201 0.36324197 0.0
1.997 1.994 -0.0014818645 0.011708348 -0.931637 0.36319873 0.0
2.004 2.004 -0.0014813562 0.011708412 -0.9316527 0.3631583 0.0
2.014 2.014 -0.0014809266 0.011708466 -0.9316661 0.3631241 0.0
2.025 2.024 -0.0014805425 0.011708515 -0.931678 0.36309353 0.0
2.034 2.034 -0.0014819935 0.011708331 -0.931633 0.36320898 0.0
2.045 2.044 -0.0014833108 0.011708165 -0.9315921 0.3633138 0.0
2.055 2.054 -0.0014844952 0.011708015 -0.93155533 0.36340803 0.0
2.065 2.064 -0.0014855649 0.011707879 -0.93152213 0.36349314 0.0
2.074 2.074 -0.001486563 0.011707752 -0.93149114 0.36357257 0.0
2.084 2.084 -0.0014874641 0.011707637 -0.9314632 0.36364424 0.0
2.094 2.094 -0.0014866492 0.011707741 -0.9314885 0.3635794 0.0
2.107 2.104 -0.0014859053 0.011707835 -0.93151164 0.3635202 0.0
2.115 2.114 -0.0014833764 0.011708155 -0.9315901 0.36331898 0.0
2.124 2.123 -0.001481084 0.011708446 -0.93166125 0.3631366 0.0
2.135 2.134 -0.0014790129 0.011708707 -0.93172544 0.36297175 0.0
2.145 2.144 -0.0014771392 0.011708943 -0.93178356 0.36282265 0.0
2.155 2.154 -0.0014754528 0.0117091555 -0.93183583 0.36268845 0.0
2.164 2.164 -0.0014739272 0.011709346 -0.931883 0.36256704 0.0
2.174 2.174 -0.0014725149 0.011709524 -0.9319267 0.36245465 0.0
2.184 2.184 -0.0014712402 0.0117096845 -0.9319662 0.3623532 0.0
2.194 2.194 -0.0014684073 0.011710039 -0.9320538 0.36212772 0.0
2.204 2.204 -0.0014658415 0.01171036 -0.9321331 0.3619235 0.0
2.214 2.214 -0.0014577633 0.011710434 -0.93220484 0.3617386 0.0
2.236 2.224 -0.0014556657 0.011710695 -0.9322697 0.3615716 0.0
2.246 2.234 -0.0014537544 0.0117109325 -0.9323287 0.36141944 0.0
2.254 2.244 -0.0014520154 0.011711149 -0.93238235 0.361281 0.0
2.264 2.254 -0.0014503977 0.011711349 -0.93243223 0.3611522 0.0
2.274 2.264 -0.0014489465 0.0117115285 -0.932477 0.36103666 0.0
2.284 2.274 -0.001447625 0.011711692 -0.9325177 0.36093143 0.0
2.294 2.284 -0.0014464321 0.01171184 -0.9325545 0.36083645 0.0
2.304 2.294 -0.0014453839 0.011711969 -0.9325868 0.360753 0.0
2.314 2.303 -0.0014444165 0.011712088 -0.9326166 0.36067596 0.0
2.324 2.313 -0.0014435372 0.011712196 -0.93264365 0.36060596 0.0
2.334 2.323 -0.0014427564 0.011712292 -0.9326677 0.3605438 0.0
2.344 2.333 -0.0014420578 0.011712378 -0.9326892 0.36048815 0.0
2.354 2.343 -0.0014414199 0.011712456 -0.9327088 0.36043736 0.0
2.364 2.354 -0.0014408494 0.011712526 -0.9327264 0.3603919 0.0
2.374 2.364 -0.0014403552 0.0117125865 -0.9327416 0.36035258 0.0
2.384 2.374 -0.0014399041 0.011712642 -0.9327555 0.36031666 0.0
2.394 2.384 -0.001439453 0.011712698 -0.93276936 0.36028075 0.0
2.404 2.394 -0.0014391035 0.011712741 -0.9327801 0.36025292 0.0
2.414 2.404 -0.001433825 0.011716325 -0.93279076 0.3602251 0.0
2.425 2.414 -0.0014289825 0.011719751 -0.9327969 0.36020908 0.0
2.434 2.424 -0.0014238938 0.011723491 -0.9328056 0.3601864 0.0
2.446 2.434 -0.0014195796 0.0117265815 -0.9328116 0.36017075 0.0
2.454 2.444 -0.0014193848 0.011726605 -0.9328176 0.36015525 0.0
2.465 2.454 -0.0014191914 0.011726628 -0.93282354 0.36013985 0.0
2.474 2.464 -0.0014191914 0.011726628 -0.93282354 0.36013985 0.0
2.484 2.474 -0.0014191914 0.011726628 -0.93282354 0.36013985 0.0
2.494 2.484 -0.0014191914 0.011726628 -0.93282354 0.36013985 0.0
2.504 2.494 -0.0014191914 0.011726628 -0.93282354 0.36013985 0.0
2.514 2.504 -0.0014191914 0.011726628 -0.93282354 0.36013985 0.0
2.524 2.514 -0.0014191914 0.011726628 -0.93282354 0.36013985 0.0
2.534 2.524 -0.0014191914 0.011726628 -0.93282354 0.36013985 0.0
2.544 2.534 -0.0014191914 0.011726628 -0.93282354 0.36013985 0.0
2.554 2.544 -0.0014191914 0.011726628 -0.93282354 0.36013985 0.0
2.564 2.554 -0.0014191914 0.011726628 -0.93282354 0.36013985 0.0
2.574 2.564 -0.0014191914 0.011726628 -0.93282354 0.36013985 0.0
2.584 2.574 -0.0014191914 0.011726628 -0.93282354 0.36013985 0.0
2.595 2.584 -0.0014191914 0.011726628 -0.93282354 0.36013985 0.0
2.604 2.594 -0.0014191914 0.011726628 -0.93282354 0.36013985 0.0
2.614 2.604 -0.0014191914 0.011726628 -0.93282354 0.36013985 0.0
2.624 2.614 -0.0014191914 0.011726628 -0.93282354 0.36013985 0.0
2.634 2.624 -0.0014191914 0.011726628 -0.93282354 0.36013985 0.0
2.644 2.634 -0.0014156771 0.011730384 -0.9328236 0.3601399 0.0
2.654 2.644 -0.0014154051 0.011730417 -0.93283194 0.36011827 0.0
2.665 2.654 -0.0014151329 0.011730449 -0.9328403 0.36009663 0.0
2.675 2.664 -0.0014149405 0.011730473 -0.9328462 0.36008134 0.0
2.684 2.674 -0.001414748 0.011730496 -0.9328521 0.36006606 0.0
2.694 2.684 -0.0014145555 0.011730517 -0.9328579 0.36005074 0.0
2.705 2.694 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.715 2.704 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.726 2.714 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.735 2.724 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.745 2.734 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.754 2.744 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.764 2.754 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.774 2.764 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.785 2.774 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.795 2.784 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.805 2.794 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.814 2.804 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.825 2.814 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.834 2.824 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.844 2.834 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.854 2.844 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.864 2.854 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.874 2.864 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.885 2.874 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.894 2.884 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.904 2.894 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.915 2.904 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.928 2.914 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.935 2.924 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.944 2.934 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.954 2.944 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.964 2.954 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.974 2.964 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.984 2.974 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
2.994 2.984 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
3.004 2.994 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
3.014 3.004 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
3.024 3.014 -0.001414363 0.011730541 -0.9328638 0.36003545 0.0
