gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
1.121 1.120 5.7424605E-4 3.0551106E-5 2.4434738E-4
1.131 1.130 0.0011851117 -5.8031455E-4 2.4434738E-4
1.141 1.140 0.0011851117 -5.8031455E-4 2.4434738E-4
1.151 1.150 -3.6619604E-5 3.0551106E-5 -9.77383E-4
1.161 1.160 0.0011851117 -0.0011911802 -9.77383E-4
1.171 1.170 -0.0018692166 6.4141676E-4 2.4434738E-4
1.183 1.180 -0.0012583509 6.4141676E-4 -3.6651827E-4
1.191 1.190 0.0030177087 6.4141676E-4 -3.6651827E-4
1.201 1.200 5.7424605E-4 -0.0011911802 -0.0015882486
1.211 1.210 0.002406843 -0.0011911802 2.4434738E-4
1.221 1.220 0.0017959774 3.0551106E-5 2.4434738E-4
1.233 1.231 5.7424605E-4 3.0551106E-5 -9.77383E-4
1.241 1.240 0.0011851117 -5.8031455E-4 -9.77383E-4
1.251 1.250 -0.0012583509 0.0012522787 2.4434738E-4
1.261 1.260 5.7424605E-4 -0.0018020459 -3.6651827E-4
1.271 1.270 0.0011851117 -0.0011911802 -0.0015882486
1.280 1.280 5.7424605E-4 0.0018631443 8.552121E-4
1.291 1.290 0.0011851117 0.0018631443 -0.0015882486
1.301 1.300 -6.4748526E-4 -0.0030237772 8.552121E-4
1.311 1.310 0.0011851117 -0.0011911802 -3.6651827E-4
1.321 1.320 0.0011851117 6.4141676E-4 -3.6651827E-4
1.331 1.330 0.0017959774 3.0551106E-5 2.4434738E-4
1.340 1.340 5.7424605E-4 6.4141676E-4 2.4434738E-4
1.350 1.350 -0.0012583509 -0.0011911802 -3.6651827E-4
1.360 1.360 0.0017959774 -0.0024129115 2.4434738E-4
1.370 1.370 -3.6619604E-5 6.4141676E-4 2.4434738E-4
1.381 1.380 -6.4748526E-4 -0.0011911802 0.0014660778
1.390 1.390 0.0030177087 -0.0011911802 2.4434738E-4
1.400 1.400 5.7424605E-4 -5.8031455E-4 -9.77383E-4
1.410 1.410 0.0017959774 -5.8031455E-4 2.4434738E-4
1.420 1.420 5.7424605E-4 0.0012522787 -3.6651827E-4
1.430 1.430 -0.0018692166 -5.8031455E-4 -0.0015882486
1.440 1.440 0.0011851117 -0.0011911802 -0.0021991143
1.451 1.450 5.7424605E-4 -0.0011911802 2.4434738E-4
1.461 1.460 -3.6619604E-5 -0.0011911802 2.4434738E-4
1.471 1.470 -6.4748526E-4 0.00247401 -9.77383E-4
1.481 1.480 5.7424605E-4 -5.8031455E-4 8.552121E-4
1.491 1.490 5.7424605E-4 6.4141676E-4 -9.77383E-4
1.501 1.500 -3.6619604E-5 -0.0018020459 8.552121E-4
1.511 1.510 0.0011851117 -0.0018020459 0.0014660778
1.521 1.520 0.002406843 3.0551106E-5 2.4434738E-4
1.531 1.530 0.0030177087 3.0551106E-5 2.4434738E-4
1.541 1.540 0.0030177087 6.4141676E-4 8.552121E-4
1.551 1.550 0.0017959774 3.0551106E-5 8.552121E-4
1.561 1.560 0.002406843 -5.8031455E-4 -0.0015882486
1.571 1.570 5.7424605E-4 -5.8031455E-4 -9.77383E-4
1.581 1.580 -3.6619604E-5 3.0551106E-5 -3.6651827E-4
1.591 1.590 5.7424605E-4 0.0018631443 0.0014660778
1.601 1.600 0.0017959774 6.4141676E-4 -0.0015882486
1.611 1.610 0.0017959774 -0.0018020459 8.552121E-4
1.621 1.620 0.0011851117 3.0551106E-5 8.552121E-4
1.632 1.630 -3.6619604E-5 0.0012522787 -9.77383E-4
1.641 1.640 -6.4748526E-4 3.0551106E-5 -0.0021991143
1.651 1.650 0.002406843 -5.8031455E-4 -0.0015882486
1.661 1.660 -3.6619604E-5 3.0551106E-5 -3.6651827E-4
1.671 1.670 -0.0024800822 -0.0011911802 -3.6651827E-4
1.681 1.680 0.0011851117 3.0551106E-5 8.552121E-4
1.691 1.690 0.0011851117 6.4141676E-4 -9.77383E-4
1.701 1.700 5.7424605E-4 6.4141676E-4 -3.6651827E-4
1.711 1.710 0.0011851117 -5.8031455E-4 2.4434738E-4
1.721 1.720 5.7424605E-4 6.4141676E-4 0.0014660778
1.731 1.730 0.0011851117 -5.8031455E-4 8.552121E-4
1.741 1.740 0.0011851117 -0.0011911802 2.4434738E-4
1.751 1.750 -3.6619604E-5 -5.8031455E-4 -0.0021991143
1.761 1.760 0.0011851117 3.0551106E-5 8.552121E-4
1.771 1.770 0.0011851117 -0.0011911802 -3.6651827E-4
1.781 1.780 5.7424605E-4 3.0551106E-5 2.4434738E-4
1.791 1.790 -3.6619604E-5 -5.8031455E-4 2.4434738E-4
1.801 1.800 0.0011851117 -0.0030237772 -3.6651827E-4
1.811 1.810 -0.0012583509 -5.8031455E-4 -0.0021991143
1.821 1.820 0.0030177087 -5.8031455E-4 -9.77383E-4
1.831 1.830 0.0017959774 -5.8031455E-4 2.4434738E-4
1.841 1.840 5.7424605E-4 -5.8031455E-4 -0.0015882486
1.851 1.850 5.7424605E-4 -0.0011911802 8.552121E-4
1.861 1.860 -6.4748526E-4 3.0551106E-5 2.4434738E-4
1.871 1.870 0.0017959774 -5.8031455E-4 0.0014660778
1.881 1.880 0.0011851117 -0.0018020459 2.4434738E-4
1.891 1.890 -0.0012583509 6.4141676E-4 0.0014660778
1.901 1.900 -0.0012583509 0.0012522787 2.4434738E-4
1.911 1.910 0.004850298 3.0551106E-5 -3.6651827E-4
1.921 1.920 -6.4748526E-4 0.0012522787 -3.6651827E-4
1.931 1.930 0.0011851117 3.0551106E-5 0.0020769425
1.941 1.940 0.0017959774 3.0551106E-5 -3.6651827E-4
1.951 1.950 5.7424605E-4 -5.8031455E-4 -0.002809979
1.961 1.960 5.7424605E-4 -5.8031455E-4 -3.6651827E-4
1.971 1.970 5.7424605E-4 -0.0018020459 -0.0015882486
1.981 1.980 5.7424605E-4 3.0551106E-5 -9.77383E-4
1.991 1.990 5.7424605E-4 -5.8031455E-4 0.0014660778
