location-gps.txt

This provider determines location using satellites. Depending on conditions, this provider may take a while to return a location fix..
http://developer.android.com/reference/android/location/LocationManager.html

elapsed-time-system elapsed-time-sensor latitude longitude altitude bearing accuracy speed
4.327 4.742 52.005699863657355 4.366910699754953 58.0 0.0 11.5 0.08
14.056 14.482 52.00575727969408 4.366928972303867 39.0 0.0 17.0 0.049999997
15.067 15.391 52.00570359360427 4.366853199899197 48.0 0.0 12.0 0.06
16.057 16.391 52.005690769292414 4.366831323131919 49.0 345.3 12.0 0.72999996
17.124 17.391 52.00572601519525 4.36683869920671 50.0 345.3 7.5 0.01
26.895 27.319 52.00575040653348 4.366835094988346 42.0 24.6 9.0 0.13
28.018 28.391 52.00576071627438 4.366902904585004 40.0 24.8 7.0 0.19
28.977 29.391 52.00576105155051 4.3669018149375916 40.0 0.0 7.0 0.0
30.007 30.391 52.00576105155051 4.3669018149375916 40.0 0.0 6.5 0.0
