@ HyperIMU -ianovir - 2018
@ Date:Thu Apr 23 11:25:37 GMT+02:00 2020, Sampling Rate:10ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z,YAS537_Uncalibrated_Magnetometer.x,YAS537_Uncalibrated_Magnetometer.y,YAS537_Uncalibrated_Magnetometer.z,K6DS3TR_Uncalibrated_Gyroscope.x,K6DS3TR_Uncalibrated_Gyroscope.y,K6DS3TR_Uncalibrated_Gyroscope.z,Screen_Orientation_Sensor.x,Screen_Orientation_Sensor.y,Screen_Orientation_Sensor.z,Samsung_Orientation_Sensor.x,Samsung_Orientation_Sensor.y,Samsung_Orientation_Sensor.z
1587633937566,-0.19752164,0.06703765,9.92636,-39.5,-224.79999,-34.0,-0.034208454,0.11484267,0.06719518,-1.0,0.0,0.0,16.400614,-0.3868902,-1.1399547
1587633937577,-0.15801731,0.1340753,9.807847,-39.5,-224.79999,-34.0,-0.018325957,0.10873401,0.05375614,-1.0,0.0,0.0,16.250727,-0.7835102,-0.92273766
1587633937589,-0.18674773,0.20949265,9.775525,-39.5,-224.7,-34.0,-0.014660766,0.08674286,0.032986723,-1.0,0.0,0.0,16.231026,-1.2273101,-1.0943775
1587633937598,-0.23942018,0.29209262,9.671378,-39.5,-224.7,-34.0,-0.010995574,0.05131268,0.008552114,-1.0,0.0,0.0,15.7583475,-1.7297497,-1.4183306
1587633937612,-0.15682021,0.32561144,9.497798,-39.5,-224.7,-34.0,-0.0061086523,0.007330383,-0.029932396,-1.0,0.0,0.0,15.351876,-1.9626536,-0.9454471
1587633937621,-0.108936176,0.20470424,9.582792,-39.5,-224.7,-34.0,-0.004276057,-0.019547688,-0.047647487,-1.0,0.0,0.0,15.380553,-1.2237376,-0.6513283
1587633937633,-0.039504327,0.11851298,9.758766,-39.5,-224.7,-34.0,0.0018325958,-0.019547688,-0.03359759,-1.0,0.0,0.0,15.001572,-0.6959303,-0.23204349
1587633937644,-0.039504327,0.11851298,9.758766,-39.5,-224.7,-34.0,0.01038471,0.01038471,-0.0067195175,-1.0,0.0,0.0,15.001572,-0.6959303,-0.23204349
1587633937660,-0.12449849,0.20350714,10.206482,-39.5,-224.7,-34.1,0.018936822,0.11056661,0.03970624,-1.0,0.0,0.0,14.629734,-1.1421499,-0.69862115
1587633937670,-0.15682021,0.14604631,10.160992,-39.399998,-224.7,-34.0,0.052534413,0.14110987,0.055588737,-1.0,0.0,0.0,14.618895,-0.8230982,-0.8843137
1587633937681,-0.20231004,0.08379706,10.024523,-39.399998,-224.7,-34.0,0.111177474,0.15515977,0.08552113,-1.0,0.0,0.0,15.451563,-0.47892994,-1.1561123
1587633937693,-0.31364042,0.14963761,9.679757,-39.399998,-224.7,-34.0,0.16371189,0.13561209,0.11178834,-1.0,0.0,0.0,16.514723,-0.88526285,-1.8558916
1587633937703,-0.35194764,0.107739076,9.457097,-39.399998,-224.7,-34.0,0.19120082,0.096516706,0.12217305,-1.0,0.0,0.0,16.461235,-0.6523129,-2.1312551
1587633937720,-0.36870706,0.30406362,9.629479,-39.399998,-224.7,-34.0,0.055588737,0.0580322,0.13255776,-1.0,0.0,0.0,17.248764,-1.807162,-2.1927445
1587633937733,-0.2633622,0.320823,9.67856,-39.399998,-224.79999,-34.1,-0.0036651916,0.11178834,0.1386664,-1.0,0.0,0.0,15.905312,-1.8977745,-1.5586741
