@ HyperIMU -ianovir - 2018
@ Date:Mon May 04 16:25:32 GMT+02:00 2020, Sampling Rate:10ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z,YAS537_Uncalibrated_Magnetometer.x,YAS537_Uncalibrated_Magnetometer.y,YAS537_Uncalibrated_Magnetometer.z,K6DS3TR_Uncalibrated_Gyroscope.x,K6DS3TR_Uncalibrated_Gyroscope.y,K6DS3TR_Uncalibrated_Gyroscope.z,Screen_Orientation_Sensor.x,Screen_Orientation_Sensor.y,Screen_Orientation_Sensor.z,Samsung_Orientation_Sensor.x,Samsung_Orientation_Sensor.y,Samsung_Orientation_Sensor.z
1588602332588,-0.06823475,-0.022744916,9.79827,-61.2,-259.9,-109.1,-0.07513642,0.032986723,0.015271631,-1.0,0.0,0.0,106.42758,0.13682768,-0.38564944
1588602332600,-0.06703765,-0.021547815,9.7958765,-61.2,-259.9,-109.1,-0.07574729,0.03726278,0.015271631,-1.0,0.0,0.0,106.2399,0.13682768,-0.3856494
1588602332612,-0.059855044,-0.016759412,9.800665,-61.2,-260.0,-109.0,-0.07574729,0.034208454,0.013439035,-1.0,0.0,0.0,106.42759,0.13682772,-0.38564947
1588602332623,-0.06823475,-0.017956512,9.7958765,-61.2,-260.0,-109.0,-0.07696902,0.03481932,0.014049901,-1.0,0.0,0.0,106.42758,0.13682768,-0.38564938
1588602332635,-0.074220255,-0.009576807,9.792285,-61.2,-260.0,-109.1,-0.07696902,0.037873644,0.014049901,-1.0,0.0,0.0,106.42751,0.05553576,-0.43456236
1588602332644,-0.074220255,-0.017956512,9.783905,-61.2,-260.0,-109.1,-0.07513642,0.035430185,0.014049901,-1.0,0.0,0.0,106.42751,0.05553576,-0.43456236
1588602332656,-0.06464344,-0.023942016,9.809045,-61.2,-260.0,-109.1,-0.07574729,0.03604105,0.01282817,-1.0,0.0,0.0,106.04606,0.13911039,-0.37808084
1588602332668,-0.06464344,-0.02873042,9.797073,-61.2,-260.0,-109.1,-0.076358154,0.034208454,0.014049901,-1.0,0.0,0.0,106.04606,0.13911039,-0.37808084
1588602332681,-0.059855044,-0.01316811,9.794679,-61.2,-260.0,-109.2,-0.07696902,0.036651913,0.014660766,-1.0,0.0,0.0,106.44618,0.07928401,-0.35114455
1588602332692,-0.07062895,-0.015562311,9.80665,-61.2,-260.0,-109.2,-0.076358154,0.035430185,0.015271631,-1.0,0.0,0.0,106.24887,0.08366454,-0.35599962
1588602332703,-0.074220255,-0.0047884034,9.811439,-61.2,-260.0,-109.2,-0.073303826,0.036651913,0.014660766,-1.0,0.0,0.0,106.24881,0.028253932,-0.43300956
1588602332713,-0.06464344,-0.007182605,9.813833,-61.2,-260.0,-109.2,-0.073303826,0.035430185,0.014049901,-1.0,0.0,0.0,105.93793,0.041619174,-0.37867627
1588602332725,-0.06584055,-0.015562311,9.805453,-61.2,-260.0,-109.2,-0.07513642,0.03481932,0.014049901,-1.0,0.0,0.0,105.93793,0.041619174,-0.37867627
1588602332737,-0.06464344,-0.015562311,9.801862,-61.2,-260.0,-109.2,-0.076358154,0.03481932,0.015882496,-1.0,0.0,0.0,106.054955,0.04161919,-0.3786763
1588602332748,-0.05865794,-0.022744916,9.794679,-61.2,-260.0,-109.2,-0.07574729,0.03848451,0.013439035,-1.0,0.0,0.0,106.05504,0.13380735,-0.34283116
