gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
1.175 1.174 -0.100023076 -0.12746315 -0.018643608
1.185 1.184 -0.09696874 -0.10852632 -0.016200148
1.196 1.194 -0.06642549 -0.078593925 -0.0021502469
1.205 1.204 -0.024886645 -0.038887683 0.01617571
1.215 1.214 0.055136703 0.025864031 0.035112534
1.225 1.224 0.098508134 0.055796433 0.050384164
1.235 1.234 0.113168895 0.06923546 0.054049354
1.245 1.244 0.08873429 0.06068335 0.044886377
1.255 1.254 0.046584588 0.043579128 0.027171284
1.265 1.264 0.006878346 0.024031438 0.008234463
1.275 1.274 -0.017556265 0.01731192 -9.285165E-4
1.285 1.284 -0.0169454 0.016701054 -0.008869764
1.297 1.294 0.0013805628 0.023420572 -0.012534956
1.305 1.304 0.035589013 0.031361822 -0.012534956
1.315 1.314 0.06735401 0.049687777 -0.0058154385
1.325 1.324 0.07896045 0.045411725 0.011899653
1.335 1.334 0.04414113 0.029529225 0.010677923
1.345 1.344 0.0099326745 0.017922785 2.9321387E-4
1.355 1.354 -0.004117228 -0.0052900948 -0.003982843
1.365 1.364 -0.0016737655 -0.009566151 0.005791002
1.375 1.374 0.005656615 -0.0052900948 0.008845328
1.385 1.384 0.012376137 -0.013842206 0.008845328
1.395 1.394 0.019095652 -0.015674803 0.011288789
1.405 1.404 0.035589013 -0.011398746 0.010677923
1.415 1.414 0.05941276 -0.024226915 0.01617571
1.425 1.424 0.07285179 -0.04010941 0.026560418
1.435 1.434 0.071019195 -0.043774605 0.033279937
1.446 1.444 0.050860643 -0.051104985 0.036945127
1.455 1.454 0.027036902 -0.0895895 0.026560418
1.465 1.464 0.01787392 -0.13479352 0.02900388
1.475 1.474 0.011154406 -0.15922813 0.028393015
1.485 1.484 0.020317383 -0.16655852 0.019230038
1.495 1.494 0.049638912 -0.16472593 0.009456192
1.505 1.504 0.094232075 -0.14762169 0.012510519
1.515 1.514 0.14004697 -0.14884342 0.021062631
1.525 1.524 0.16875765 -0.16778025 0.025949553
1.535 1.534 0.16203812 -0.18305188 0.030836474
1.545 1.544 0.099729866 -0.18244101 0.018008307
1.554 1.554 0.03742161 -0.18244101 0.0027366756
1.565 1.564 -0.0047280937 -0.18305188 -0.013145821
1.575 1.574 -0.026719242 -0.1757215 -0.026584856
1.584 1.584 -0.025497511 -0.17083459 -0.025363125
1.594 1.594 -0.024886645 -0.1580064 -0.016811013
1.604 1.604 -0.033438757 -0.14090218 -0.007037169
1.614 1.614 -0.045656063 -0.11707844 -0.007037169
1.625 1.624 -0.04626693 -0.08531344 -0.0045937076
1.634 1.634 -0.043823466 -0.055381045 -0.0052045733
1.644 1.644 -0.045045197 -0.027281243 -0.008869764
1.654 1.654 -0.052375585 -0.0034574978 -0.014367552
1.664 1.664 -0.054819047 -0.0028466322 -0.0223088
1.674 1.674 -0.065203756 -0.00712269 -0.030860912
1.684 1.684 -0.08047539 -0.006511824 -0.031471778
1.694 1.694 -0.09269269 -0.00712269 -0.0363587
1.704 1.704 -0.103688255 0.011203267 -0.04063476
1.714 1.714 -0.10674259 0.039303068 -0.044910815
1.725 1.724 -0.09513615 0.063737676 -0.047354277
1.735 1.734 -0.048099525 0.0826745 -0.04429995
1.745 1.744 0.023982573 0.10527651 -0.04674341
1.755 1.754 0.10034073 0.16575217 -0.038191296
1.765 1.764 0.20846388 0.23966686 -0.024141395
1.774 1.774 0.24450493 0.24088861 9.040795E-4
1.785 1.784 0.24022888 0.21278879 0.018619172
1.795 1.794 0.19624656 0.16758476 0.026560418
1.805 1.804 0.12966226 0.11505036 0.0198409
1.815 1.814 0.06552141 0.073511526 0.012510519
1.825 1.824 0.019706517 0.051520374 0.00212581
1.835 1.834 -0.0114476085 0.03747047 -0.01070236
1.845 1.844 -0.032217026 0.016701054 -0.010091495
1.855 1.854 -0.039547414 -4.0317327E-4 -0.016811013
1.865 1.864 -0.04748866 2.0769238E-4 -0.029639184
1.878 1.874 -0.041990876 -0.0034574978 -0.04429995
1.885 1.884 -0.03160616 -0.00712269 -0.048576005
1.895 1.894 -0.010225877 -0.010177016 -0.05346293
1.905 1.904 0.016041327 -0.004679229 -0.04552168
1.915 1.914 0.036810745 0.009981539 -0.038191296
1.925 1.924 0.054525837 0.009981539 -0.033304375
1.935 1.934 0.07040833 0.0038728863 -0.024141395
1.945 1.944 0.07407352 0.0014294237 -0.007648034
1.955 1.954 0.069186606 -4.0317327E-4 9.040795E-4
1.965 1.964 0.060023624 -0.023616051 0.0070127314
1.975 1.974 0.041697666 -0.06637662 0.0045692706
1.985 1.984 0.02214998 -0.11158064 -0.0058154385
1.995 1.994 0.027036902 -0.11891103 -0.007648034
2.005 2.004 0.04536286 -0.13418266 0.00212581
2.015 2.014 0.050860643 -0.14884342 0.0033475403
2.027 2.024 0.041697666 -0.15434122 -0.003982843
2.034 2.034 0.03742161 -0.1616716 -0.021087069
2.045 2.044 0.03253469 -0.15495208 -0.041856486
2.054 2.054 0.038032476 -0.20321044 -0.06690196
2.065 2.064 0.067964874 -0.29545107 -0.10477561
2.075 2.074 0.11255804 -0.43778268 -0.14387098
2.085 2.084 0.50106835 -0.63325953 0.038777724
2.094 2.094 0.75091225 -0.21054082 0.15667471
2.104 2.104 0.6727215 0.025864031 0.18355279
2.114 2.114 0.5261138 0.12238073 0.079094835
2.124 2.124 0.38317132 0.19873889 0.04427551
2.134 2.134 0.21640512 0.18774332 0.033279937
2.144 2.144 0.02581517 0.110163435 9.040795E-4
2.154 2.154 -0.16294219 0.031972688 -0.023530532
2.164 2.164 -0.3321519 -0.048661526 -0.042467352
2.175 2.174 -0.4732617 -0.12990661 -0.06201504
2.184 2.184 -0.5966565 -0.21359515 -0.08767138
2.194 2.194 -0.6864537 -0.30583578 -0.11699291
2.204 2.204 -0.72738165 -0.3357682 -0.12310156
2.214 2.214 -0.5972674 -0.24597101 -0.07423235
2.224 2.224 -0.39690357 -0.14090218 -0.036969565
2.234 2.234 -0.20081584 -0.07065268 -0.036969565
2.245 2.244 -0.07192327 0.054574702 0.0027366756
2.254 2.254 -0.016334534 0.21401052 9.040795E-4
2.264 2.264 -0.0016737655 0.30564034 -0.018032743
2.275 2.274 -0.022443183 0.3044186 -0.029028319
2.284 2.284 -0.07253413 0.27876225 -0.033304375
2.294 2.294 -0.12751201 0.23172562 -0.041245624
2.304 2.304 -0.16599652 0.16086525 -0.05957158
2.314 2.314 -0.159277 0.058850754 -0.052852064
2.325 2.324 -0.13667499 0.028307494 -0.047965143
2.334 2.334 -0.10246654 0.011203267 -0.041245624
2.344 2.344 -0.063982025 0.0020402893 -0.030860912
2.354 2.354 -0.0169454 -0.0059009586 -0.014367552
2.364 2.364 0.027036902 0.014257595 0.0033475403
2.374 2.374 0.064910546 0.039303068 0.015564845
2.384 2.384 0.08445823 0.047244314 0.02900388
2.394 2.394 0.08629083 0.03441615 0.030836474
2.405 2.404 0.07346266 0.016090188 0.02900388
2.414 2.414 0.058801893 2.0769238E-4 0.033890802
2.425 2.424 0.046584588 -0.008344419 0.033890802
2.434 2.434 0.039254203 -0.012009611 0.03816686
2.444 2.444 0.02581517 -0.016896533 0.039999455
2.454 2.454 0.012986999 -0.018118264 0.038777724
2.464 2.464 0.011765271 -0.0028466322 0.030225608
2.474 2.474 0.02581517 0.027696628 0.02411696
2.484 2.484 0.040475935 0.043579128 0.035112534
2.494 2.494 0.038032476 0.027696628 0.03816686
2.504 2.504 0.020928249 0.0014294237 0.02900388
2.514 2.514 -0.0071715564 -0.0059009586 0.005791002
2.524 2.524 -0.01266934 0.010592401 -0.017421879
2.534 2.534 0.01054354 0.05213124 -0.018643608
2.544 2.544 0.027036902 0.07045719 -0.014978417
2.555 2.554 0.027036902 0.08023104 -0.013145821
2.564 2.564 0.01420873 0.09305921 -0.012534956
2.574 2.574 1.5883148E-4 0.10100046 -0.013145821
2.584 2.584 -0.015112802 0.10955256 -0.013756687
2.594 2.594 -0.029162705 0.11932641 -0.0223088
2.604 2.604 -0.030995294 0.11566122 -0.018643608
2.614 2.614 -0.023054048 0.10771997 -0.018643608
2.624 2.624 -0.0096150115 0.10344392 -0.0058154385
2.634 2.634 0.0050457492 0.09428094 0.0070127314
2.644 2.644 -0.016334534 0.08023104 0.007623597
2.654 2.654 -0.03588222 0.063737676 0.0045692706
2.664 2.664 -0.054819047 0.04785518 0.007623597
2.674 2.674 -0.07009067 0.02891836 0.0027366756
2.684 2.684 -0.0713124 0.030750956 -3.1765085E-4
2.695 2.694 -0.055429906 0.046633456 -0.003982843
2.704 2.704 -0.027330108 0.05946162 -0.003982843
2.714 2.714 0.011154406 0.08023104 0.0015149442
2.724 2.724 0.026426036 0.121769875 0.003958405
2.735 2.734 0.026426036 0.14803708 2.9321387E-4
2.745 2.744 0.006878346 0.10649824 -3.1765085E-4
2.755 2.754 -0.014501937 0.073511526 -9.285165E-4
2.765 2.764 -0.02427578 0.052742105 0.0015149442
2.775 2.774 -0.02977357 0.038692202 0.0045692706
2.785 2.784 -0.023054048 0.012424998 0.0027366756
2.795 2.794 -0.019388862 0.002651155 0.00212581
2.805 2.804 -0.0028954968 0.022198841 0.005791002
2.815 2.814 0.020317383 0.054574702 0.011288789
2.825 2.824 0.044751994 0.06740287 0.018619172
2.835 2.834 0.05269324 0.0564073 0.019230038
2.845 2.844 0.042919397 0.04602259 0.011899653
2.855 2.854 0.033756416 0.043579128 2.9321387E-4
2.865 2.864 0.024593439 0.015479326 -3.1765085E-4
2.875 2.874 0.013597865 -0.0077335536 -0.003982843
2.885 2.884 0.0019914284 -0.0016249008 -0.007037169
2.895 2.894 -0.0071715564 0.010592401 -0.007037169
2.907 2.904 0.003824018 0.011814132 -0.016200148
2.915 2.914 0.026426036 0.0020402893 -0.018032743
2.925 2.924 0.03986507 0.0038728863 -0.014367552
2.935 2.934 0.036810745 0.014868461 -0.008869764
2.945 2.944 0.027647767 0.028307494 -0.0058154385
2.955 2.954 0.0062674806 0.02891836 9.040795E-4
2.965 2.964 -0.010836743 0.020366248 0.0064018657
2.976 2.974 -0.01266934 0.008148942 2.9321387E-4
2.985 2.984 -0.007782422 -0.012009611 -0.0027611125
2.995 2.994 0.0032131523 -0.026059512 -0.0064263036
3.005 3.004 7.6969713E-4 -0.037665952 -0.0033719772
3.015 3.014 1.5883148E-4 -0.038276818 -0.010091495
3.025 3.024 -0.0065606907 -0.010177016 -0.010091495
3.035 3.034 -0.01816713 0.029529225 -0.015589282
3.045 3.044 -0.020610586 0.04785518 -0.016811013
3.057 3.054 -0.025497511 0.04602259 -0.011313225
3.065 3.064 -0.03710395 0.04174653 -0.0064263036
3.075 3.074 -0.05604078 0.021587979 -0.013145821
3.085 3.084 -0.0590951 -0.0040683635 -0.015589282
3.095 3.094 -0.04626693 -0.02483778 -0.01070236
3.105 3.104 -0.03282789 -0.032168165 -0.013756687
3.115 3.114 -0.027330108 -0.01872913 -0.011313225
3.125 3.124 -0.01816713 -0.0034574978 -0.012534956
3.135 3.134 -0.009004146 0.0020402893 -0.0033719772
3.145 3.144 -0.0053389594 0.008148942 9.040795E-4
3.155 3.154 -0.014501937 0.016090188 0.0051801363
3.165 3.164 -0.023664914 0.0020402893 0.0027366756
3.175 3.174 -0.033438757 -0.016896533 2.9321387E-4
3.185 3.184 -0.038936548 -0.030335568 -0.007648034
3.194 3.194 -0.029162705 -0.02239432 -0.013145821
3.206 3.204 -0.016334534 -0.014453072 -0.016811013
3.215 3.214 -0.0010628998 -0.0059009586 -0.017421879
3.225 3.224 0.013597865 -0.01078788 -0.016200148
3.235 3.234 0.019095652 -0.01078788 -0.016811013
3.245 3.244 0.01665219 -0.008955285 -0.017421879
3.255 3.254 0.007489212 -0.0022357665 -0.019865338
3.265 3.264 0.0050457492 0.004483752 -0.017421879
3.274 3.274 0.011765271 0.0032620206 -0.012534956
3.285 3.284 0.005656615 0.0057054795 -0.012534956
